gen,nevals,restart,sigma,avg,std,min,max
0,50,27,953.7956206038959,721.197266141698,400.00452923954725,78.95690665887017,1447.4313583397784
1,50,27,918.8164312825594,875.3203041707317,362.28521849506154,96.53939490131827,2210.26575447007
2,50,27,889.4975329222212,1056.3720715656955,336.1115430791689,276.51297722804475,2567.207019208235
3,50,27,870.548054597282,1035.7195174677222,351.7410775139632,410.3523781750849,1765.29015462812
4,50,27,861.4116075057618,1151.9987663427628,379.09585800127826,560.4298674799433,2317.437300322968
5,50,27,852.5267727777923,1253.2540582826603,354.706216205496,771.0663540449652,2035.2483790425786
6,50,27,846.8199280464795,1326.4732844694613,444.32186504360095,483.94036101142234,2432.62216411134
7,50,27,842.5253551102376,1377.5548078927009,481.4535790395148,749.9361827018857,2949.767252168965
8,50,27,837.4638887561209,1356.6645322179895,385.49485461565314,752.5911367396372,2095.144714056046
9,50,27,832.0914712534442,1421.532238974112,426.0167150015007,779.4559552733864,2631.5494688079066
10,50,27,827.1438130705412,1320.9523966548104,399.4650266742637,820.1226806775571,2035.2483790425786
11,50,27,820.5727469543431,1467.1480567747085,489.22084425391,1000.0,2762.0660377865074
12,50,27,810.5460954059815,1469.2227479807782,408.63487460380844,820.1226806775571,2630.757237026862
13,50,27,800.0627246928608,1380.2284870559288,433.5034231242326,740.1423738690535,2447.6997535735204
14,50,27,795.0893639376413,1471.4995643212085,405.07022346584085,820.1226806775571,2146.525198888203
15,50,27,788.9462589178058,1608.8293883806664,404.480285281935,923.6427452938699,2146.525198888203
16,50,27,785.605967886701,1622.0694817437561,482.1718359941093,932.9275681219365,2886.168119552975
17,50,27,783.429040357399,1440.8318439415361,496.00379259094706,942.7256586915386,2681.5111874512513
18,50,27,785.8430295301282,1484.4686692458577,483.7361792190339,820.1226806775571,2919.7742448709296
19,50,27,789.4955761244743,1491.555034193207,518.4239504231193,788.6946620244183,2960.3696263656725
20,50,27,792.4623098414947,1631.9393169557275,507.3608654680572,962.9920463376335,2798.126689988564
21,50,27,792.5862604344984,1601.9197673861624,474.370024974514,968.8303900866033,2888.891105964006
22,50,27,789.314899596721,1673.8391247738462,489.7303321880751,809.7796369481355,3303.487294601286
23,50,27,785.6576270388533,1521.8088346389156,498.77146025276517,770.4343956520656,2649.690038749329
24,50,27,784.2471444200391,1703.2880145804977,566.5914122625353,962.9920463376335,3299.3204965612476
25,50,27,784.835119988541,1665.6940239740713,570.9050229437657,820.1226806775571,3469.0296502422934
26,50,27,784.9532721929047,1758.0086010704888,578.4683722360587,989.8591238285798,3604.697637778767
27,50,27,789.1290260484678,1652.057582482609,537.3944477261738,962.9920463376335,3107.8488097879967
28,50,27,794.1490099910391,1748.9138435743641,469.70405225314875,1000.0,2577.285054997141
29,50,27,798.7167752273559,1822.8369802817872,515.8089024226247,1000.0,3064.4164854562337
30,50,27,809.2089413013874,1939.5714095424344,701.3889916064313,1000.0,3738.14877086058
31,50,27,821.9115126083868,1920.4986462632137,583.1209336312085,1000.0,3801.2189448597587
32,50,27,834.593477859112,1978.5459967685943,825.6826274774962,1000.0,3977.317929828017
33,50,27,843.3613726934362,1913.6836295251187,705.0285783926196,1000.0,3671.448726851027
34,50,27,849.0610160109875,1966.2902540448495,710.9414369978394,1000.0,3896.327052570579
35,50,27,851.7748414699486,2054.278694249965,737.0248860157288,910.0705163245523,4262.800458238115
36,50,27,857.2060791193517,2091.8512880654885,806.8557703679887,1000.0,3868.130533548413
37,50,27,859.7921872875766,1858.7072939695813,672.7274800632136,1000.0,3637.6620469559643
38,50,27,859.6368131329517,2088.5486165102,808.8891051629001,1000.0,3936.591991667382
39,50,27,863.7873591560481,1952.1470010494832,870.8006701551041,824.116368935455,3973.597288322922
40,50,27,867.7675741278322,2348.198946274797,935.6779755559371,852.9191390519186,3842.962500333557
41,50,27,868.5517563950411,2257.8264423241085,865.4678154263959,1000.0,3888.1502865704615
42,50,27,867.9205700930182,2102.8669724612805,753.1682351229523,1000.0,4147.4048534400135
43,50,27,870.2367367301068,2220.56095152932,777.198939408957,1000.0,3969.0579766008073
44,50,27,871.6000798712952,2335.5404854566564,884.0765694668785,1000.0,4320.015328448502
45,50,27,874.205717938896,2385.6157983907337,839.024995043022,1000.0,4727.9227231045525
46,50,27,880.9209537461104,2412.7731602511317,814.1842579717207,1000.0,4475.905168243484
47,50,27,884.7884277027118,2282.906634880893,1081.7158355910076,1000.0,4914.863024610899
48,50,27,896.2101026608399,2419.324705178065,862.073995580454,962.9920463376335,4326.63619187676
49,50,27,907.8716027652451,2406.7488881438408,873.1944519493268,962.9920463376335,4217.878659098065
50,50,27,920.8476848404403,2199.8575863945707,919.8430595168395,984.1730230648207,4362.060461263994
51,50,27,935.2014429651239,2154.5194854993783,766.6508563824182,750.32482359531,4061.593834835769
52,50,27,946.4941641912362,2215.4736468695314,823.8452329048786,967.6897434999929,4535.545529108872
53,50,27,956.4333794350351,2377.1682180345892,1044.4657710105969,785.6112931419912,5485.435696900243
54,50,27,962.778185760419,2399.506878872126,1035.7767199797097,902.7129911815625,4856.134281409916
55,50,27,969.3328668853608,2136.1399474424725,898.904113804628,825.8669583991941,4039.971419204648
56,50,27,971.6394965201016,2248.0302723430987,904.8573137525094,760.6806973718076,4521.519790548842
57,50,27,968.5901027813583,2366.8809086870847,916.8207435313577,742.5790887212294,4135.80349661465
58,50,27,967.3987829965334,2552.0962232973125,1081.2872628153837,561.777911671592,5236.743995130863
59,50,27,965.2907527127711,2534.377964428329,935.4739496678616,864.1448676158109,5169.411435467227
60,50,27,958.9142037012598,2514.793493163807,1112.4095871693153,809.7796369481355,4806.564039593764
61,50,27,953.0816327165466,2350.7004003115194,1144.8523165933066,723.3947905496393,5176.328915777013
62,50,27,948.8703748750025,2406.796796873875,1182.918123366509,909.2684403228338,5204.77401412779
63,50,27,947.1596409559064,2321.590685155905,1118.1455732570014,798.9884052037232,4910.414700962502
64,50,27,947.8846435210424,2439.2573772494015,956.1119098028968,898.4003167366023,4750.280844011899
65,50,27,950.1809070643819,2459.7762374393456,1203.807437447178,1000.0,4698.635241948305
66,50,27,951.7645279472957,2497.8372072057978,1010.0401188200423,1000.0,4345.782637536243
67,50,27,947.3976871871654,2350.705835687993,1054.6664877163255,922.0468822941809,4529.654578808771
68,50,27,943.9621019294432,2725.6299405219015,919.7203148199444,854.7914775201193,4557.389624596279
69,50,27,938.1264215477885,2944.9252775741425,1027.2813336962408,1000.0,5993.950818993894
70,50,27,930.6744727618237,2302.6896007295795,1111.9761919947082,937.443675552713,4679.772134637045
71,50,27,923.5166865571272,2942.8118709721066,1350.47928032519,1000.0,5771.360685998988
72,50,27,918.7694098412304,2833.019582620928,1065.2693502625675,1000.0,5587.570067947644
73,50,27,911.9984628804996,2614.100102495286,1247.582851694665,1000.0,6001.474250092975
74,50,27,907.7305521357938,2910.559712352689,1310.5419136556193,1000.0,5579.6486104898295
75,50,27,910.0747041103285,2821.359968194146,1206.0091036009123,992.5640369563819,5433.9657200724505
76,50,27,911.396235578916,3181.5456669131527,1297.7735382321555,1000.0,5697.348397735618
77,50,27,913.4814073602495,2785.8576025630664,1324.1131765703644,1000.0,5394.899797956182
78,50,27,912.069425669318,2982.984714447355,1274.090934080066,1000.0,5922.55304405204
79,50,27,914.615164261053,2951.3195828333755,1211.8499857704223,1000.0,5923.023145546281
