gen,nevals,restart,sigma,avg,std,min,max
0,50,36,949.9270120811617,1073.8737061088218,458.14745784250005,523.0961656035173,3108.6958156116634
1,50,36,913.4900507757967,1151.002646901605,588.6374587402462,391.4721758744499,3819.346410728364
2,50,36,883.1288639764111,1224.0059513819415,499.1813935486472,416.40785662282235,3293.605586203237
3,50,36,862.5742115752525,1437.1624634197185,790.8117380281618,194.66757266799095,4239.22592878114
4,50,36,847.4514031135436,1449.018621979353,838.4969240768568,559.2443326723311,4477.543924976416
5,50,36,834.686349781689,1536.9015591523766,795.2464966942412,529.6648424895857,4216.291295965151
6,50,36,823.4324532452061,1579.6832195876157,737.3552589877763,493.08607214152096,4202.098549309423
7,50,36,812.6624676049732,1535.9258844169672,1001.1575212713027,367.4332143486689,5707.068529246901
8,50,36,805.4462440422608,1702.6878562636782,890.083417248167,546.9769330293093,3921.3632173024394
9,50,36,798.1758904656772,1745.8492298064227,718.5641053034827,501.0254587522342,3216.194451309245
10,50,36,795.1199665813486,1712.085351117001,700.3230671110609,384.13554914243065,3169.309390549944
11,50,36,793.7693508184838,1709.8025546083375,800.1489459256538,685.1500837496828,4871.129341289363
12,50,36,792.3009119800291,1766.9802390561838,658.9374354237345,643.2128276373905,3578.0940197583045
13,50,36,792.9568116858873,1775.8974234326868,732.2813513382466,611.6642101085375,4220.276066352546
14,50,36,791.6177377742752,1907.122747053672,907.3377939657282,487.8233995879881,4762.620742569938
15,50,36,788.0278583381754,1909.4373865531495,872.4387899651978,717.7087515392668,4415.639796358652
16,50,36,785.5426317185568,1947.1474915665865,921.7561699108035,572.3794676039377,4479.727446618397
17,50,36,783.6755532247186,1973.0217651882856,921.6890262713122,670.8110203404734,4396.519143198358
18,50,36,781.4360053703266,2382.37490608823,1091.953980164084,729.2793340781274,6168.690009204385
19,50,36,776.9161594789385,2139.436725439067,861.3198691080338,632.2254709389878,4290.193212120396
20,50,36,777.5935446027536,1823.8721206370524,659.8004962063254,710.1243208360356,3131.064759015795
21,50,36,778.5709066369056,1947.6948442213072,811.7628416206791,545.2457067519381,4164.747005831106
22,50,36,780.8213034186531,1824.7736208005444,574.3416899338091,574.3748608527238,2897.1098005369004
23,50,36,783.352098519583,2200.101557302091,800.209727430009,799.1831151875637,4002.0264876439637
24,50,36,788.4268031249022,2407.434547015002,1192.7640055259594,653.30634274494,7090.279782562702
25,50,36,790.5233763777023,2406.0852798950505,1054.76803359577,850.8034440084792,7156.056395864041
26,50,36,790.2266830587588,2176.947645102244,1003.0567756997311,689.8761007949156,5717.330180543752
27,50,36,790.5264820236303,2473.8195183367134,1128.2934473778441,549.9393124632772,4635.3123149251915
28,50,36,793.9493264787878,2155.330701909668,908.3738036066111,776.6885044514559,4083.2069423493103
29,50,36,792.7611351185286,2368.6948743648986,1096.4379701365426,847.4086701801857,5976.773867500634
30,50,36,791.7828271353103,2217.7531324797774,1047.2739939030746,455.8999694650123,4592.8298964644055
31,50,36,794.6529429591379,2878.7102000108534,1238.7438629737628,676.6000512422864,6830.861141244
32,50,36,793.0503640058625,2774.147622164293,1368.981879000404,831.1535583900702,7318.020403431
33,50,36,790.443150035993,2737.2633086199767,1027.4629464721886,894.8271145264908,6644.024415704403
34,50,36,787.7401198373282,3203.268073792077,1484.8565622959086,1047.6865846528246,7836.166167130667
35,50,36,786.1716957145283,2902.5765177392955,1219.373017926569,919.4473504186938,7188.40828066627
36,50,36,784.9153058772794,3248.2731887425443,1590.9813423580538,817.6309858910714,10571.987017080024
37,50,36,783.1339654477968,2995.47696992772,1228.3916618975338,548.2727309839793,6689.234888090905
38,50,36,781.7875706359739,3148.531060478754,1281.0723196750844,550.6982792669435,6581.760993164347
39,50,36,781.4571277220833,2884.0677034710893,1376.786589439373,484.0359379006711,5780.150266068655
40,50,36,777.9303464666398,2821.085351480675,1453.766480475846,688.0577072246452,6657.051278861137
41,50,36,777.6076475483919,3057.0780388140374,1420.9831083423828,697.4301600852691,7550.9787858932095
42,50,36,775.3240794408383,3229.386934046997,1298.6882952680287,735.2717025351528,6312.97073589912
43,50,36,770.6268083187742,3746.2182638470117,1688.547735539777,713.6155236294584,7934.6974406543
44,50,36,766.5120185182773,3075.8789750182227,1620.524989033457,637.4468623009133,8388.928275428692
45,50,36,763.5465932470016,3393.1037667291316,1762.524964828406,753.64211228442,7501.426948483381
46,50,36,761.7480224209501,3640.4701111609693,1435.4640979379146,1131.080561320282,8281.113121501407
47,50,36,763.453485664712,3678.3252988811046,1542.7659633459248,978.4247946790438,8709.095892230971
48,50,36,764.0083828497018,4316.905433011305,1848.9117388126017,1306.3381177205692,9123.086111244476
49,50,36,768.9687701633181,3917.61015179143,2093.9107061240275,1294.8448211647597,10720.983010875432
50,50,36,774.6799748857771,3682.6864839431555,1746.1049317307277,1101.4624249942258,7596.070178858878
51,50,36,775.7610080170914,4146.12591403078,2486.636449902085,839.1803523950416,10587.853030724616
52,50,36,775.4887495171016,4043.5471147610515,1751.421314804845,1036.3648249318508,8773.176524030927
53,50,36,776.9508431814762,3993.906378373006,2088.8739065632076,937.0825482242557,8861.926511815956
