,feature,buy strategy weight,sell strategy weight
0,volume_adi,-5002.022136259314,-1204.322090581029
1,volume_obv,-5097.988320279772,-2002.93206530117
2,volume_cmf,8802.787393450964,-2525.3600804784724
3,volume_fi,-4547.9490210983995,-11601.191938385236
4,volume_em,2289.1366425394526,4578.150605090103
5,volume_sma_em,7971.908831566271,4544.391654006465
6,volume_vpt,-12623.169814833473,-8968.238984053181
7,volume_vwap,-13247.901794440973,-5405.412611712429
8,volume_mfi,5613.347254401706,4374.604603674959
9,volume_nvi,-6099.959267496391,-12210.639118311577
10,volatility_bbm,-2948.6077348931494,8863.85024265016
11,volatility_bbh,-6809.680241892191,1186.41182804474
12,volatility_bbl,-2421.741927179336,10838.208144793418
13,volatility_bbw,-2207.2510378041543,5064.950769559481
14,volatility_bbp,-6157.153057278089,7011.418765593349
15,volatility_bbhi,1828.041358044604,13801.962078397211
16,volatility_bbli,-10363.815029458698,-6166.545986026677
17,volatility_kcc,-4560.470402831433,2211.2894107060306
18,volatility_kcw,-736.0726165279559,-7326.664058825858
19,volatility_kcp,2380.9909949169523,4981.040687441311
20,volatility_kchi,5927.022092303169,-7432.072712450164
21,volatility_kcli,-7091.842843390087,-8934.05659471576
22,volatility_dcl,-6740.860603822726,6723.624396736376
23,volatility_dch,-5606.220120510297,10454.24308307979
24,volatility_dcm,4464.670264494351,6035.3142956659785
25,volatility_dcw,-2626.9737115493385,-6860.00853265535
26,volatility_dcp,1154.673175094818,-12509.263576803742
27,volatility_atr,-3455.896705111647,-3108.777254330251
28,volatility_ui,2135.3488234298693,-1686.031351103906
29,trend_macd,3047.224258202101,-1964.3202148553223
30,trend_macd_signal,6845.2915775453475,-5184.5630381860365
31,trend_macd_diff,568.5868858495489,-6619.216670757368
32,trend_sma_slow,10.098894720648929,6005.152478512124
33,trend_ema_slow,3000.374405581263,14469.464241191754
34,trend_vortex_ind_pos,-4497.465975377563,1465.4549251679134
35,trend_vortex_ind_neg,-1857.2636208938447,-2452.7242756559644
36,trend_vortex_ind_diff,2583.0042772984393,-1639.9187257538226
37,trend_trix,-435.3033589032375,655.6877044984608
38,trend_mass_index,12140.068682858708,-1885.998524754829
39,trend_dpo,-782.8794118572882,1858.1599184552906
40,trend_kst,7335.433398839794,-1628.7101846231926
41,trend_kst_sig,-3876.2388432328944,1568.9651681414796
42,trend_kst_diff,2002.4166417860968,-2147.369320381137
43,trend_ichimoku_base,-9057.575644790348,5900.422831973761
44,trend_ichimoku_a,3125.5832383653674,-3273.2366261569287
45,trend_ichimoku_b,-185.30679707281354,-1434.4775756537276
46,trend_stc,-3550.194159556815,12424.19290396176
47,trend_adx,2395.386814000981,4824.028042271939
48,trend_adx_pos,4407.96140950566,-299.59347822058714
49,trend_adx_neg,4288.970535336599,6589.295390125301
50,trend_cci,2132.6740866913387,-3631.1622038422825
51,trend_visual_ichimoku_a,313.86861135361767,8040.849132136768
52,trend_visual_ichimoku_b,634.7088829840309,4144.416775645751
53,trend_aroon_up,18042.358115172265,-4564.76587325194
54,trend_aroon_down,12194.962881468828,-6938.7979455485265
55,trend_aroon_ind,9729.940103688768,-5019.680480879075
56,trend_psar_up_indicator,8061.38369756758,12347.502123163089
57,trend_psar_down_indicator,2481.361124723058,-13955.354106517862
58,momentum_rsi,1500.4638143256982,-2601.7216217030355
59,momentum_stoch_rsi,658.6347285659898,6941.712875741113
60,momentum_stoch_rsi_k,6371.37675697911,13487.450235047696
61,momentum_stoch_rsi_d,4065.0456447253573,1000.3642278919249
62,momentum_tsi,-550.066287201511,2599.813637171359
63,momentum_uo,9527.798733064088,-12149.88994905142
64,momentum_stoch,14324.97144439615,-11191.733627466441
65,momentum_stoch_signal,-1262.575290081281,9072.089724082864
66,momentum_ao,5775.1787103732,6879.411480878984
67,momentum_roc,-5756.277761488915,1517.9514133730593
68,momentum_ppo,16236.593147748596,-2870.1094583592026
69,momentum_ppo_signal,6662.568164320554,2196.2965733336055
70,momentum_ppo_hist,7144.90069046321,9195.766294493505
71,momentum_pvo,-7625.681329442356,3588.268984796704
72,momentum_pvo_signal,1140.2159781416826,9622.964718979396
73,momentum_pvo_hist,15371.10025060994,7050.435062231236
74,momentum_kama,4732.697820523783,10426.017916368604
75,others_dr,4488.359149085664,-17337.149986307075
76,others_cr,-5340.26521658192,1728.2045420610368
