path,initial_money,commision,result,n_generations,execution_time
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-18_23-43-28-819499,1000,0.0,69449.99294664989,2163,630.4880652427673
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-18_23-49-25-277068,1000,0.0,17741.415520463026,1265,356.44615721702576
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-18_23-58-13-988795,1000,0.0,81164.91017073304,1893,528.7133564949036
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_00-07-23-411273,1000,0.0,23422.590625444267,1972,549.4207391738892
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_00-19-48-213833,1000,0.0,45698.576451540765,2671,744.8059544563293
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_00-36-41-921913,1000,0.0,53702.40788744847,3641,1013.7244393825531
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_00-46-55-511446,1000,0.0,17548.49314230481,2203,613.5631926059723
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_00-53-53-617065,1000,0.0,11299.590613959244,1496,418.0943212509155
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_01-07-22-593231,1000,0.0,78212.22037452679,2884,808.9863255023956
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_01-17-31-461116,1000,0.0,84056.4799158001,2162,608.856281042099
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_01-28-12-025937,1000,0.0,45901.93378042244,2293,640.5638892650604
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_01-35-07-973365,1000,0.0,17996.957599568366,1543,415.93409299850464
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_01-44-39-660365,1000,0.0,23880.044137736328,2150,571.6973853111267
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_01-55-55-968708,1000,0.0,19944.60062644339,2518,676.3017554283142
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_02-05-39-794252,1000,0.0,32523.882142499,2149,583.8271420001984
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_02-13-51-480360,1000,0.0,74365.03756985252,1809,491.67052245140076
