gen,nevals,restart,avg,std,min,max
0,300,5,1101.1514783915206,224.47771861096248,658.4817428831593,2118.7053538038367
1,172,5,1437.5794749640957,299.3348548343229,791.6721105014659,2118.7053538038367
2,189,5,1641.1688980420115,400.81765343865027,746.7874115471873,2344.7422354551272
3,177,5,2008.6573903973913,272.04470446324376,1000.0,2344.7422354551272
4,150,5,1990.7405025648225,417.92640605753377,863.4012919097494,2563.2801827399526
5,199,5,2215.091127964023,330.00854908398145,1000.0,2806.3342519054554
6,177,5,2222.244638166614,488.6197661034088,783.2198587304923,2967.314813375099
7,172,5,2577.364206900619,308.06218406605865,1190.2154970520608,3080.3783481168753
8,177,5,2805.0264167602795,296.33234139125426,1538.287110824857,3191.4988346159976
9,177,5,2855.7405397989864,344.49061174821304,1499.705541375512,3191.4988346159976
10,170,5,2952.3786124549556,325.4193225266452,1374.4732179114426,3237.8330579285425
11,179,5,3006.005521683543,409.7713288402767,1239.943054105361,3283.109595348167
12,167,5,3031.9857002226477,433.99214791732885,1185.6386572136876,3283.109595348167
13,177,5,3106.529060870437,382.1342275271628,1476.0737175302415,3320.895556200452
14,172,5,3097.223657525531,457.6115557441105,1235.3319546108735,3464.0349573157655
15,167,5,3144.5072595181464,406.50811610768494,1273.5351403830718,3464.0349573157655
16,196,5,3074.951193051294,491.08733599796943,1296.589281843322,3464.0349573157655
17,180,5,3223.961247171303,521.5156957113129,1312.2746643042071,3464.0349573157655
18,168,5,3294.35454685474,454.1012519906581,1216.9443982994726,3464.0349573157655
19,194,5,3248.5521906400704,472.62217129287416,1301.639776361514,3464.0349573157655
20,187,5,3297.263866401276,456.6025354428465,1041.176486761212,3464.0349573157655
21,183,5,3248.1257191880577,516.4955344242177,1335.2791141091636,3464.0349573157655
22,181,5,3218.660343541782,545.7325836178723,1242.8478447239715,3464.0349573157655
23,184,5,3287.8624091632632,422.5632437052718,1419.4237787391623,3464.0349573157655
24,173,5,3221.4026140132623,531.0970220449016,1310.027463336301,3464.0349573157655
25,168,5,3283.7672195025843,451.0809517556457,1332.645579030058,3495.312650688335
26,190,5,3263.2399518373336,485.69414367365005,1304.3397288053184,3495.312650688335
27,180,5,3293.0523448843246,441.2539824644096,1399.0255593563325,3495.312650688335
28,184,5,3244.5318882645606,569.5187831978894,1044.4756160664283,3495.312650688335
29,188,5,3267.0856953869265,499.9938380390974,1303.5622653325968,3495.312650688335
30,185,5,3242.064000591532,565.8945961095008,1149.0076710749415,3495.312650688335
31,154,5,3278.376731907145,519.928033578354,1177.1544608262823,3495.312650688335
32,185,5,3214.741205692801,584.6818400302377,1228.3900101514598,3495.312650688335
33,183,5,3277.0013100474057,489.51006503020795,1181.5984106733938,3495.312650688335
34,190,5,3224.6572097368935,551.8385083368264,1323.9244343446558,3495.312650688335
35,185,5,3232.9484010050196,558.4372527111506,1160.0057966160548,3495.312650688335
36,157,5,3272.6160656843185,515.3030795299292,1122.7955319158864,3495.312650688335
37,193,5,3266.482560680521,510.862981604338,1120.3959828242312,3495.312650688335
38,172,5,3261.9477145853793,522.7318209062609,1102.2126532132995,3495.312650688335
39,187,5,3279.219512142896,536.2728852132841,1251.0680220081456,3495.312650688335
40,187,5,3275.7312505640834,503.50033625861005,1421.2284580979103,3495.312650688335
41,177,5,3228.494100153743,555.8354466975107,971.8449979111182,3495.312650688335
42,154,5,3254.4232578138526,555.1392472408728,1348.658872138971,3495.312650688335
