gen,nevals,restart,sigma,avg,std,min,max
0,50,71,951.140017495482,740.5334048132503,337.8784627909044,119.57002510684725,1500.6909102583886
1,50,71,919.5055906541087,1004.2658290269162,515.7182264408084,114.68703337832227,2839.503863637808
2,50,71,897.1171066195787,1010.6036133938646,256.6217580280644,463.34262314142717,2035.2483790425786
3,50,71,882.6244450117069,1017.8028121907843,287.9906686991389,285.41587383407176,2035.2483790425786
4,50,71,870.9250698718938,1187.9774870351198,404.312921786435,497.9318322086874,2474.058703271948
5,50,71,859.0972098079193,1153.1326555580556,372.8104217643869,246.95420021830307,2246.553699692713
6,50,71,847.8139568958383,1254.7030198396444,402.4661515859413,624.6155545510275,2351.2942828906735
7,50,71,840.9537309998996,1397.3031497504846,461.10298537486426,367.47581614451246,2363.455467572576
8,50,71,834.8713418581883,1497.2736227238813,400.7889144464569,863.3691580523188,2232.4812782063805
9,50,71,831.7381868209777,1408.2317292502892,479.22797012598954,623.7571693629819,2601.3900352069177
10,50,71,827.4585017364044,1490.2247543807566,458.17816772197716,960.766884845113,2601.3900352069177
11,50,71,823.1946262838211,1482.8112189474016,466.31591450647744,899.3736758501924,2613.3097443076936
12,50,71,820.4811884061482,1457.848049398683,415.5535595479232,393.9898817914455,2577.192432484722
13,50,71,823.1760565890833,1484.302594046894,415.046701804477,723.3947905496393,2390.41098455837
14,50,71,826.9848042443595,1664.1275281922221,478.54254103796035,1000.0,2518.9046199813456
15,50,71,827.8380446887302,1618.9859219517527,464.4271118434921,871.1991831172047,2586.413056825201
16,50,71,827.6948204058642,1681.9021465389192,460.5909774506087,937.7572833927983,2586.413056825201
17,50,71,828.4903764107015,1675.1703890354759,458.8879796417418,1000.0,2561.3981544163066
18,50,71,830.4096854924334,1637.8238885959936,420.5972243759999,1000.0,2373.3564070413836
19,50,71,832.2213261750876,1839.8008334379444,453.1021880641844,1000.0,2626.534311920939
20,50,71,835.2437490774196,1778.8621904434583,498.6444642136071,1000.0,2731.7232322421246
21,50,71,840.5542741090137,1756.5079617629015,491.7039085146142,1000.0,2631.5494688079066
22,50,71,844.8919365656428,1862.0143294462252,455.5675944014393,1000.0,2656.6252532427425
23,50,71,851.782705864776,1772.9406282323107,511.93790087941244,1000.0,2656.6252532427425
24,50,71,855.6061235534077,1735.4543734604556,519.0587084191666,1000.0,2560.1844683869426
25,50,71,859.2653469251186,1943.277177108295,409.76388888299795,1000.0,2763.2058051175527
26,50,71,862.1355123080118,1789.265822080672,436.09389512021636,1000.0,2679.619386872835
27,50,71,869.5145076382946,1930.5712263479063,380.76300499692667,1000.0,2701.693172946263
28,50,71,869.6010668842389,1919.8220849827883,489.8642838922902,1000.0,2786.8899579987647
29,50,71,868.7971195840813,1819.815642325531,587.8372562738793,888.4731401801608,2906.864604359344
30,50,71,870.6837720841232,2034.0334433492217,525.4169125785891,1000.0,3353.2859502243305
31,50,71,874.3970103498103,1969.6177079254442,498.1866031292355,1000.0,2701.693172946263
32,50,71,876.8910186680878,2131.9761818604297,495.82014304815493,1000.0,3354.467635353414
33,50,71,879.2285363333582,1882.151991061751,583.1065479860483,999.1024663442347,3466.8949432006566
34,50,71,882.8957735050928,2049.4346295170712,589.3052253630931,1000.0,3897.482095383854
35,50,71,889.1937327291932,2051.923244847687,471.1749998265191,1000.0,3057.4324070310417
36,50,71,893.0645480834798,2247.866835908397,540.8111465146557,1000.0,3988.642842217331
37,50,71,893.5750017677645,2263.1221580102783,660.0209602817899,888.4731401801608,3782.647977799355
38,50,71,890.7496269135769,2288.300623436229,616.7742514006308,1000.0,3813.5332549261348
39,50,71,891.1494534595856,2181.9087537985415,649.3645919118132,980.465732527667,3799.1306784048547
40,50,71,888.7650172809189,2157.9482107352756,540.8556806676668,888.4731401801608,3569.183841763875
41,50,71,888.2683304167417,2279.440399326192,742.6246560819229,888.4731401801608,3929.514159666018
42,50,71,891.6116480130639,2322.5716925956526,498.90176640786297,1000.0,3953.464753852085
43,50,71,898.2811717682971,2508.4591078077647,681.0844107275565,1000.0,4218.794005896818
44,50,71,910.3434879135638,2486.700936366076,675.127285192064,1000.0,4053.989264774631
45,50,71,920.606329188221,2382.6306057221545,730.728524126726,1000.0,4584.126477983872
46,50,71,932.1986213150277,2491.9642246915378,674.8432516047844,1000.0,3961.4396512352128
47,50,71,939.4794169546476,2515.7520693097886,669.3382729950603,1490.0142529385478,4160.758148189698
48,50,71,947.4834089585352,2598.9901078230514,752.2172351370957,1000.0,3953.464753852085
49,50,71,950.6983516543004,2460.6752173106543,778.409696457153,1290.4306991123228,4283.0005610538465
50,50,71,948.5579729702968,2590.3825793148785,688.487843097823,1458.9454515363695,3953.464753852085
51,50,71,953.1479903542188,2596.4395665855554,841.8191812534229,1000.0,4786.122640440436
52,50,71,958.5886280545901,2718.747282925276,799.6682731406339,1000.0,4185.082507828909
53,50,71,968.1862331610733,2604.9246204525493,766.1278722787413,1000.0,4227.100546613535
54,50,71,975.1462624432488,2538.03585179935,716.3833128399901,978.8152642059036,4160.758148189698
55,50,71,986.6722024674801,2486.9009870781515,796.5659875504377,1000.0,3974.8716411479913
56,50,71,995.702142715491,2567.4882641429176,656.5761222929333,1412.89807362543,4160.758148189698
57,50,71,1003.2451283696349,2441.34622720238,654.2562990153478,1000.0,4214.7179745253225
58,50,71,1010.5440855007305,2604.4736370330597,714.4023487581392,1029.3948476239234,4223.219869809178
59,50,71,1025.0282851275563,2596.3239294805876,634.1106313412995,937.0460763817678,4052.73293220279
60,50,71,1036.7821159317516,2647.7418324608334,801.2760612532769,1000.0,4060.908072558865
61,50,71,1048.7590036137676,2525.9218342007625,607.0613149480503,1311.5647358425392,4113.572968367709
62,50,71,1055.9331569833794,2766.095361272387,720.2049302226444,1000.0,4253.609435073248
63,50,71,1063.757835387202,2762.2255776923353,793.5719129644758,888.4731401801608,4105.291806671732
64,50,71,1067.042743363875,2870.2167122876826,714.0713407370748,1523.2820686375221,4223.219869809178
65,50,71,1072.5055199282444,2960.452009988281,745.1568939847044,1478.3090781786252,4278.603671848437
66,50,71,1078.9041745050738,3056.1453813953685,838.2154661229704,967.0775170363521,5168.238703862941
67,50,71,1082.1104523584556,2825.5962773953356,868.7526483386516,985.6318194631428,4475.481584251459
68,50,71,1084.8734080129404,2990.8590958194563,903.9219340408305,1000.0,4846.369245489192
69,50,71,1084.2843917848006,3003.2105067950383,935.8993594011057,1000.0,5465.409224571844
70,50,71,1085.473996035086,2941.0216824938016,810.8549434145589,1642.9429720630073,4243.57289098698
71,50,71,1081.9490044928946,3044.5408341001657,835.1083485101602,1323.9609528776448,4533.732796688203
72,50,71,1082.377666769741,3001.131295057572,822.1780533760582,1029.3948476239234,4261.566822189616
73,50,71,1087.3239200073042,3084.6519999518114,959.3265533180316,1154.1571908280202,5464.241707803312
74,50,71,1092.7814870997624,2867.137544455053,817.0995978736499,1000.0,4223.219869809178
75,50,71,1093.9383186170994,2909.6694555388517,954.6830345086156,967.1476801875934,4865.369975986812
76,50,71,1092.526112728253,2837.303471460878,909.3559668978572,1027.6716098230208,4984.486232280593
77,50,71,1095.2370757237961,3085.329555941227,983.0484560549397,1000.0,4933.190477478198
78,50,71,1098.0643710430872,3305.3647404961753,891.750987178993,1146.2225173348768,5246.975158375259
79,50,71,1101.9668898310974,3214.058495517061,826.5769704527302,1000.0,4541.319661006607
80,50,71,1101.1902283968698,2791.0548640542456,938.5405527692537,1000.0,4284.822963451573
81,50,71,1093.97251187552,2871.913950662024,1000.7623492200476,1000.0,4293.466273956644
82,50,71,1091.6008833328974,2954.0555590510335,1047.0274687271246,1000.0,4929.311126417367
83,50,71,1091.8034076631302,3090.0563088527783,944.6581835457287,1186.938718548859,5231.885321244192
84,50,71,1093.3034518805332,3260.7569245565596,979.9354137131236,1753.8798827118408,5343.645401564542
85,50,71,1095.8972612213686,3072.16321513399,876.6161529592448,1355.4934976362326,4749.387593344918
86,50,71,1102.0399064052203,3082.141148367973,1022.6274693435795,1000.0,5333.596088039669
87,50,71,1103.4184633130508,3018.5589945518072,1076.3644749401697,1000.0,4993.32150361324
88,50,71,1103.748919542282,3022.359306524123,991.2429837830414,1165.8810447812752,5386.832788829422
89,50,71,1106.650132515632,2976.7454112486844,1037.360860130208,1000.0,5178.664033511994
90,50,71,1109.3782938213983,3038.160244072737,1029.7758523891769,888.4731401801608,5266.974329139996
91,50,71,1112.2456887925282,3183.382256016457,970.7345775745414,1000.0,5231.885321244192
92,50,71,1118.9997396758129,3087.0230099661208,1004.6139270976421,1000.0,5279.998573440632
93,50,71,1126.2877024255356,3198.578259607727,954.3582316312948,1205.9968304476909,6034.506925777804
94,50,71,1129.5144599837552,2996.015094090444,1025.6051642457303,974.0436852118463,5570.6405775364365
95,50,71,1129.7222438411675,3316.0873712055145,1291.7684566681166,988.3251590908175,5645.886201680694
96,50,71,1133.2476672164537,3188.190128369065,1149.5268683709853,954.9164945948323,5609.890557743516
97,50,71,1139.2925670356906,3209.760499585517,1174.94863846754,1000.0,6224.802624268488
