,feature,buy strategy weight,sell strategy weight
0,volume_adi,389.013924245105,-2196.784089463972
1,volume_obv,8563.333720606119,-2059.64045191671
2,volume_cmf,-7399.96589607468,349.44415760442666
3,volume_fi,-10767.548409171834,1570.0423374853654
4,volume_em,-183.46380121351808,-2932.0403741134132
5,volume_sma_em,1295.788300365506,-2520.9208819073892
6,volume_vpt,3245.7899794941086,3482.6696025638594
7,volume_vwap,-7954.365742071541,1126.6676491022486
8,volume_mfi,-2584.146363311687,-1075.4037744019329
9,volume_nvi,1276.193148619735,5156.2356294602905
10,volatility_bbm,6143.4372762014955,-8900.9660740759
11,volatility_bbh,-2147.837616037571,2596.762947604965
12,volatility_bbl,-2599.206071798043,45.18409908249066
13,volatility_bbw,-7526.812490383612,1641.8127546049586
14,volatility_bbp,-6515.779824083935,-4724.6679069130305
15,volatility_bbhi,-4205.191497596777,-2668.668787114149
16,volatility_bbli,4392.721946114165,3061.863809948819
17,volatility_kcc,-1841.969977802822,6360.081571564033
18,volatility_kcw,4129.14261019405,-3255.4434628670515
19,volatility_kcp,3036.629802244581,-5951.549158311909
20,volatility_kchi,5825.223373938432,3834.8783235808505
21,volatility_kcli,3488.7620663013126,-801.6534536137119
22,volatility_dcl,2540.1666851666973,5549.123456360066
23,volatility_dch,-1677.6134972740826,717.9525367960694
24,volatility_dcm,5189.79392705798,3340.126413078378
25,volatility_dcw,-3461.417574544914,1034.1366053746663
26,volatility_dcp,-5881.37231707044,-511.3125122034622
27,volatility_atr,-2921.4283383901184,-3620.123578710319
28,volatility_ui,-2007.4740767112526,-7860.415208827938
29,trend_macd,1068.9373154606992,-6818.8020260094545
30,trend_macd_signal,740.2707784764798,-7002.392389625824
31,trend_macd_diff,2765.6609986660724,1122.0295612637315
32,trend_sma_slow,-4609.287283908478,-1452.0187842271243
33,trend_ema_slow,2776.6068636403897,982.2482307260066
34,trend_vortex_ind_pos,-2293.6222254314985,541.4132449274059
35,trend_vortex_ind_neg,3396.5975526178836,-15799.369686744547
36,trend_vortex_ind_diff,3928.3126253276337,1580.882030155364
37,trend_trix,4261.581713551178,-4766.999038448244
38,trend_mass_index,2327.854861166879,-3641.5789633457252
39,trend_dpo,1010.5577280291895,-4929.141041759609
40,trend_kst,-2960.7200049651046,-707.59683288276
41,trend_kst_sig,-7956.80983137976,-340.29980082139485
42,trend_kst_diff,4618.107668141654,-2271.9071954129745
43,trend_ichimoku_base,-422.35906910015547,3241.1366918539666
44,trend_ichimoku_a,-1143.8056545582183,8415.36970046768
45,trend_ichimoku_b,585.9411256906129,-4961.2976841185355
46,trend_stc,-3567.64004945165,2118.12966316276
47,trend_adx,99.09480944246569,5468.556480471153
48,trend_adx_pos,707.3767136531364,1229.4576190103703
49,trend_adx_neg,-893.2700728609914,-7932.616345610283
50,trend_cci,-3504.961134695429,-943.1013275465898
51,trend_visual_ichimoku_a,2711.389443285304,-2552.1625596056115
52,trend_visual_ichimoku_b,-2991.5712541715548,2623.0079583159595
53,trend_aroon_up,-4161.80200184491,432.8763139946233
54,trend_aroon_down,6300.044166366574,-3256.0265882670064
55,trend_aroon_ind,712.7673625520329,8456.606862701348
56,trend_psar_up_indicator,89.65905668889445,-618.05770399104
57,trend_psar_down_indicator,8898.242012245952,5149.841762202817
58,momentum_rsi,6864.663248156739,-4445.908984921726
59,momentum_stoch_rsi,1702.139182186987,4308.509206993269
60,momentum_stoch_rsi_k,2068.654143094774,-10079.279322550967
61,momentum_stoch_rsi_d,703.4691322653094,9259.83566475598
62,momentum_tsi,-7420.473025123566,1241.725205289487
63,momentum_uo,1491.2393007774147,-2733.512048945002
64,momentum_stoch,753.9634383339968,657.943650769201
65,momentum_stoch_signal,-5367.991627891344,414.3697015986652
66,momentum_ao,-7408.714444114064,-2088.0078484846576
67,momentum_roc,840.0504249865786,945.3042278979278
68,momentum_ppo,-8054.271894599475,-873.8658856671955
69,momentum_ppo_signal,-3958.1119219814796,-3445.401005990363
70,momentum_ppo_hist,-4202.616140874751,-2976.151598745618
71,momentum_pvo,-5120.734978043562,-736.032606859688
72,momentum_pvo_signal,-2663.3568494075316,-5306.786185136
73,momentum_pvo_hist,-1500.430591031111,-828.9775828201687
74,momentum_kama,-3570.467144562509,8239.885798045072
75,others_dr,3.9790776713736875,80.802598936207
76,others_cr,-497.9905813558846,7849.571124011614
