,feature,buy strategy weight,sell strategy weight
0,volume_adi,10049.349553746595,2264.4089013412417
1,volume_obv,-979.9652867156701,5313.250556592092
2,volume_cmf,3468.0499328440155,-16890.457693930446
3,volume_fi,10573.05655156296,-21276.961813344624
4,volume_em,4219.001132589217,-3586.913136126218
5,volume_sma_em,3849.884180892053,-23173.20242150013
6,volume_vpt,7576.4178000920065,-10455.790269185181
7,volume_vwap,-14438.77166384885,8891.791603808388
8,volume_mfi,-903.7351298862704,-14390.116387170001
9,volume_nvi,12667.506044763364,-421.10201484463823
10,volatility_bbm,-5691.965523523362,6208.055269869672
11,volatility_bbh,-1915.5528397761557,7028.018142312788
12,volatility_bbl,5153.949667790929,-4215.675861788618
13,volatility_bbw,3875.3362226706013,-2334.4732590676413
14,volatility_bbp,-14934.230117739655,1559.1031780566198
15,volatility_bbhi,7703.102840560083,-6825.260447880528
16,volatility_bbli,4339.862452829014,-5723.1612953779795
17,volatility_kcc,3182.9085941254466,-1464.9488868322967
18,volatility_kcw,-16882.737615794435,-2661.1991902114496
19,volatility_kcp,-178.16955656005632,11600.914638501907
20,volatility_kchi,-16157.337414073654,8917.534706471037
21,volatility_kcli,-1096.9327451190145,-2533.4439319222543
22,volatility_dcl,-4973.964753085697,3246.8945683382644
23,volatility_dch,-158.48812273363717,16148.152993539674
24,volatility_dcm,-3141.707255600682,-4966.634162054209
25,volatility_dcw,1694.1860446178264,-4130.678370390624
26,volatility_dcp,216.0260237391887,-1034.0532788767855
27,volatility_atr,80.17678204289085,8135.84879093936
28,volatility_ui,-5400.851953970636,-10953.082363446545
29,trend_macd,-6718.869818470643,-6976.0513785598205
30,trend_macd_signal,-10100.584113915374,-15269.625344921158
31,trend_macd_diff,-939.463058270309,2386.2792937936565
32,trend_sma_slow,13232.907922645229,1045.8724935979299
33,trend_ema_slow,-4661.157438055406,-8659.978836224842
34,trend_vortex_ind_pos,-6709.590375675432,1570.9881967260817
35,trend_vortex_ind_neg,-8268.95920187706,-20452.969688850317
36,trend_vortex_ind_diff,1446.6448561158259,34.404084894552625
37,trend_trix,-3771.990744400351,-658.9898887990842
38,trend_mass_index,7354.06285413744,4200.280403900965
39,trend_dpo,-4865.975510428271,-1717.545256230137
40,trend_kst,5532.687563633816,-7964.72105946427
41,trend_kst_sig,3294.84714536653,-7389.726093856599
42,trend_kst_diff,1162.644662029409,9405.490893532271
43,trend_ichimoku_base,-8291.043587491627,1895.2735678888987
44,trend_ichimoku_a,-16571.688158496636,15732.017034458378
45,trend_ichimoku_b,-2161.4663879752197,10704.002824779054
46,trend_stc,-1635.259146171047,-7717.814376252375
47,trend_adx,-14988.48981172009,19056.84796571958
48,trend_adx_pos,7872.083649231765,2900.3142403873744
49,trend_adx_neg,-3605.766927578233,619.2919787225173
50,trend_cci,5368.084269970628,-5646.346655918411
51,trend_visual_ichimoku_a,3155.008263886853,-1760.763097701639
52,trend_visual_ichimoku_b,-8840.683345210742,-10592.059574364515
53,trend_aroon_up,-10187.090458372808,11864.366562669844
54,trend_aroon_down,13773.679214616554,-4396.450487392785
55,trend_aroon_ind,-9942.648979892556,13468.93850820781
56,trend_psar_up_indicator,6356.241080321401,-4671.525415510278
57,trend_psar_down_indicator,14778.515839681797,4647.366664252935
58,momentum_rsi,-5198.012290177352,4253.001517516543
59,momentum_stoch_rsi,3455.405724424659,-7495.5080332876205
60,momentum_stoch_rsi_k,12695.943641895168,2457.059526178487
61,momentum_stoch_rsi_d,10522.94021886264,4739.799895875078
62,momentum_tsi,2838.196322386664,-734.6645712581022
63,momentum_uo,-1085.5718837147338,-14610.53984914851
64,momentum_stoch,-21166.329024111277,4870.071412802858
65,momentum_stoch_signal,-6261.169171987283,-6250.0713534569
66,momentum_ao,3859.489953629167,-10323.091855280527
67,momentum_roc,-8466.414911033573,15160.700524982907
68,momentum_ppo,-5748.269050210009,-114.50614212054529
69,momentum_ppo_signal,-13019.931758674466,-2601.648701178916
70,momentum_ppo_hist,1388.811672337947,-8568.552046377725
71,momentum_pvo,-1097.4580884765528,4311.091955735795
72,momentum_pvo_signal,-14350.9665251058,-8228.077018832539
73,momentum_pvo_hist,6735.433696783946,964.49643554269
74,momentum_kama,-6031.269816777675,9299.356392732967
75,others_dr,-8727.969428791323,-7237.68221015358
76,others_cr,-12921.951924968163,28578.986301988403
