,feature,buy strategy weight,sell strategy weight
0,volume_adi,74.97064302457682,-125.57644233512147
1,volume_obv,-119.47953796871127,-63.120563688685706
2,volume_cmf,-39.006434883975196,135.4986452217398
3,volume_fi,-61.94331602714557,-69.92703561630536
4,volume_em,22.04602845637239,36.64048868976053
5,volume_sma_em,172.54636160845786,30.37531994336365
6,volume_vpt,-144.83389359287992,253.60598174670187
7,volume_vwap,-36.321725157725496,43.83975883751542
8,volume_mfi,-37.65858442565094,165.00975825254176
9,volume_nvi,-0.413842493497647,106.42698125932053
10,volatility_bbm,-97.54879737185071,-45.340473875489806
11,volatility_bbh,-86.17722279806236,143.71396762436552
12,volatility_bbl,88.2704895734325,60.171619290725275
13,volatility_bbw,156.49219911103265,1.3005153935755844
14,volatility_bbp,178.53857003804708,-60.998055108623774
15,volatility_bbhi,81.39640915975872,-48.64499778041193
16,volatility_bbli,-26.129253804108487,94.08212378908189
17,volatility_kcc,-130.21156209889836,75.80810406086974
18,volatility_kcw,-79.95820636874329,0.9153579866524897
19,volatility_kcp,63.85268551203847,0.7695109871694328
20,volatility_kchi,82.88184244377616,-62.92555254849404
21,volatility_kcli,13.676246012955088,176.23976002568676
22,volatility_dcl,-72.75432257533093,21.220693629331688
23,volatility_dch,-120.47353381990493,-10.497474832129194
24,volatility_dcm,-57.05731200775236,-0.07460020731392092
25,volatility_dcw,69.34587980318514,-108.2903877883532
26,volatility_dcp,3.9142564282499066,-101.48304077894409
27,volatility_atr,-28.919744240166537,-48.523267070974484
28,volatility_ui,-93.75088231711013,121.11899608409156
29,trend_macd,9.813164564754132,194.19590848110505
30,trend_macd_signal,203.3891346706539,-10.784964933679852
31,trend_macd_diff,-2.6711040978299785,119.2037600682147
32,trend_sma_slow,-4.37293082083206,35.980552427372956
33,trend_ema_slow,-152.60511636419898,-40.13999870756958
34,trend_vortex_ind_pos,229.8749130992583,38.67751392313902
35,trend_vortex_ind_neg,65.85624271107105,-110.91799635539624
36,trend_vortex_ind_diff,35.534021596156585,38.59064455977574
37,trend_trix,-25.876242050270882,4.320728865654093
38,trend_mass_index,-17.719764651869106,84.98052355578176
39,trend_dpo,20.009981279976813,127.36087187600718
40,trend_kst,-48.32436038554616,44.48339244533625
41,trend_kst_sig,-15.015317674482585,-93.9716000262394
42,trend_kst_diff,-10.19248194327681,-34.18166236745498
43,trend_ichimoku_base,-17.70007255974696,-132.64177120191948
44,trend_ichimoku_a,-191.82177222304432,119.99650594612831
45,trend_ichimoku_b,-163.1568703498744,-100.37462630279721
46,trend_stc,333.87430453126296,-192.65636351354243
47,trend_adx,76.64840299134468,-70.92596678030944
48,trend_adx_pos,59.4115675030621,70.299046557706
49,trend_adx_neg,141.38930438720112,27.029821657705387
50,trend_cci,-45.087387770206576,-71.84485582835961
51,trend_visual_ichimoku_a,-13.864023971918158,162.70092886323056
52,trend_visual_ichimoku_b,1.1330237627304314,135.0502990362057
53,trend_aroon_up,-140.75169217526144,-195.37225585285347
54,trend_aroon_down,11.010054559334591,26.94578550725635
55,trend_aroon_ind,-96.4231999141735,-144.73983769559263
56,trend_psar_up_indicator,211.52608517858403,85.55447324130883
57,trend_psar_down_indicator,-226.35167727644802,44.64968351097778
58,momentum_rsi,-36.06152587488671,-109.01736240106646
59,momentum_stoch_rsi,-35.6235258542383,-192.0014394360126
60,momentum_stoch_rsi_k,80.70953296297745,113.37086305615773
61,momentum_stoch_rsi_d,187.09382463941884,-126.52087818232769
62,momentum_tsi,-75.9728714494145,-122.64029989744853
63,momentum_uo,146.51569378466252,-78.2515606199174
64,momentum_stoch,137.17299695689792,119.18652657832074
65,momentum_stoch_signal,-177.59539907780552,-0.6371351793702473
66,momentum_ao,96.23582319628441,-138.60127929416825
67,momentum_roc,41.569460332320666,42.123118060623995
68,momentum_ppo,-89.6799933996117,-8.575725884944209
69,momentum_ppo_signal,-135.60806592352088,-53.07833395408805
70,momentum_ppo_hist,-44.94965959901834,162.92839726895772
71,momentum_pvo,-75.71974672138506,49.81930235950773
72,momentum_pvo_signal,128.08284492950938,54.072799064845555
73,momentum_pvo_hist,30.78943937213219,73.50309028067814
74,momentum_kama,-55.94758625756201,23.695194325638262
75,others_dr,81.51885501932617,-100.92801847685968
76,others_cr,-138.02814137748265,210.04461247338782
