,feature,buy strategy weight,sell strategy weight
0,volume_adi,-426.0502423698452,16482.757438050074
1,volume_obv,9078.957906024556,1037.0857771358085
2,volume_cmf,-16515.566518165753,-598.305068173155
3,volume_fi,-23100.67468585243,-5850.144075682355
4,volume_em,370.8623413068492,-8683.907748366377
5,volume_sma_em,-7348.950503613818,-10408.786366643837
6,volume_vpt,-4247.126241825519,-5461.817794401803
7,volume_vwap,-9093.65564501085,5527.431775789679
8,volume_mfi,1320.591467713798,-1985.0829886489248
9,volume_nvi,8217.495690730506,8827.969206474892
10,volatility_bbm,1000.4261714185748,6633.754586639655
11,volatility_bbh,6334.02650714075,-6504.18116665024
12,volatility_bbl,1056.5518919003505,11874.0944205506
13,volatility_bbw,14979.020432945303,2336.008174982703
14,volatility_bbp,-1246.1080304820107,-6332.464184769602
15,volatility_bbhi,14204.803782586534,4011.056916412906
16,volatility_bbli,-11464.453725087982,2890.773315162374
17,volatility_kcc,-3546.217325890428,1744.0764887763773
18,volatility_kcw,812.9435505068072,-7225.800669373022
19,volatility_kcp,-9129.058739655668,-15365.22251262795
20,volatility_kchi,-1696.8522561019013,-3775.517300827004
21,volatility_kcli,11770.678662141154,-14653.565981591506
22,volatility_dcl,1771.048695711387,6307.9702388385085
23,volatility_dch,-3145.9681889184058,-3627.1110064686077
24,volatility_dcm,-8233.662181861677,22737.446143656234
25,volatility_dcw,-3538.0212696882454,7731.631508149227
26,volatility_dcp,6402.83552291377,1452.8157317792943
27,volatility_atr,10185.461260744745,-2776.7910814585325
28,volatility_ui,6752.229754613332,3909.4928103243124
29,trend_macd,-2435.27733938163,-9958.115331760411
30,trend_macd_signal,-3532.2037948209586,-16252.228062087397
31,trend_macd_diff,-2104.0518807139974,3014.12908374123
32,trend_sma_slow,484.2727849383871,-7444.268231581408
33,trend_ema_slow,1275.0570604250622,-6451.287546220572
34,trend_vortex_ind_pos,4512.515587188938,6924.171000508825
35,trend_vortex_ind_neg,13737.101624598343,-131.6633860968037
36,trend_vortex_ind_diff,-26.443399358296574,-8307.909164102608
37,trend_trix,4923.076710836232,8767.642013959532
38,trend_mass_index,-21240.02067718397,-17885.0736156476
39,trend_dpo,-1737.2944635508024,3564.503525370972
40,trend_kst,9047.019370364038,-2385.8932627212116
41,trend_kst_sig,9017.48851371368,-5892.082037776387
42,trend_kst_diff,-5571.825169423225,-394.3575445298711
43,trend_ichimoku_base,-844.5619523162485,9.600946903047799
44,trend_ichimoku_a,1297.9311765235998,6000.906018214346
45,trend_ichimoku_b,-2726.18130357945,5556.453152299177
46,trend_stc,-4565.34391768164,-13118.16374126182
47,trend_adx,-3487.5852414676283,9844.332430844488
48,trend_adx_pos,6497.278448948793,7301.770050333022
49,trend_adx_neg,-11551.870032240813,-18901.825010101602
50,trend_cci,-3424.115911483665,-2232.479984939976
51,trend_visual_ichimoku_a,6501.4779838974355,12693.597947865044
52,trend_visual_ichimoku_b,2054.775646993814,2552.9077674421783
53,trend_aroon_up,-9288.374066727887,8720.613086048097
54,trend_aroon_down,4946.318000205301,-15956.351152564788
55,trend_aroon_ind,8015.706530771936,-4593.833041151003
56,trend_psar_up_indicator,9398.129770270196,-386.8866055250788
57,trend_psar_down_indicator,-2302.0193470130266,2470.3462519381733
58,momentum_rsi,1509.2894859077942,-8320.387527395038
59,momentum_stoch_rsi,-4029.1127141817833,8148.627513566931
60,momentum_stoch_rsi_k,-15658.100636629912,3865.37015964008
61,momentum_stoch_rsi_d,1338.9144329731632,11034.59105170896
62,momentum_tsi,6119.834636570358,-8103.895185898252
63,momentum_uo,-5697.147840439713,10356.038891800337
64,momentum_stoch,-10699.399094130224,1008.3838029545183
65,momentum_stoch_signal,-5029.973490468318,1855.9665058067324
66,momentum_ao,-8516.359847962178,-7996.236014446023
67,momentum_roc,745.4218858024886,-12438.059578818404
68,momentum_ppo,1525.5679326067132,11920.876966479364
69,momentum_ppo_signal,-8363.982550617518,-1529.3027630999873
70,momentum_ppo_hist,-7522.038345398613,-7104.2291323663985
71,momentum_pvo,2395.0354975415808,-5400.864924357068
72,momentum_pvo_signal,3682.25484818574,7646.025655740492
73,momentum_pvo_hist,-306.151576762693,-6885.637128869538
74,momentum_kama,8027.750131010841,-6431.755917194265
75,others_dr,-14283.072991069484,154.71411742980672
76,others_cr,5275.484985557212,11014.106133930332
