date;open;high;low;close;volume
2004-01-02;15.163;15.7087;15.1068;15.7087;757455.72795168
2004-01-05;15.7728;16.4952;15.7728;16.3766;2560101.4427565
2004-01-06;16.2491;16.4952;16.011;16.1305;1716833.5683132
2004-01-07;16.1305;16.2491;15.8291;16.011;1050724.2352801
2004-01-08;16.1305;16.431;15.9477;16.1305;1952270.7159225
2004-01-09;16.011;16.0742;15.5892;15.6463;1417599.4985224
2004-01-12;15.4635;15.8914;15.4082;15.8914;624566.62183037
2004-01-13;16.011;16.1928;15.8291;16.0742;1334674.5385945
2004-01-14;16.011;16.1928;15.5277;15.7728;1046182.3505439
2004-01-15;15.5892;15.8914;15.4082;15.8291;1375554.9153155
2004-01-16;15.9477;15.9477;15.4635;15.4635;881907.46663772
2004-01-19;15.5277;15.7087;15.4635;15.6463;371032.49324516
2004-01-20;15.5892;15.8291;15.5277;15.7087;473300.57892127
2004-01-21;15.7087;15.8291;15.5277;15.7087;964780.07710487
2004-01-22;15.7087;16.011;15.6463;15.8914;797179.86440911
2004-01-23;15.8291;16.1305;15.7728;16.011;1716595.7196763
2004-01-26;15.9477;16.0742;15.8291;15.8914;928801.20315479
2004-01-27;15.9477;16.1305;15.8291;15.9477;553745.76765394
2004-01-28;15.8291;15.9477;15.4635;15.5892;2255952.2138137
2004-01-29;15.4635;15.8291;15.4082;15.5892;2253951.5539876
2004-01-30;15.5892;16.1928;15.5892;15.9477;2325891.0933796
2004-02-02;16.0742;16.431;16.011;16.1305;1928105.7496262
2004-02-03;16.1305;16.2491;15.8291;15.8291;479654.21021222
2004-02-04;15.8291;16.1305;15.8291;15.9477;373753.52717255
2004-02-05;15.8914;16.1305;15.7087;15.7087;904442.7714601
2004-02-06;15.7728;16.2491;15.7728;16.1305;1171230.4178698
2004-02-09;16.3124;16.5505;16.1928;16.5505;1403753.0661533
2004-02-10;16.5505;16.7956;16.431;16.7956;1375804.14427
2004-02-11;16.6146;17.0997;16.6146;16.916;2031877.1752513
2004-02-12;16.9784;17.1595;16.916;16.9784;771999.77378695
2004-02-13;17.0997;17.1595;16.677;16.8598;929726.42297201
2004-02-16;16.677;17.0365;16.677;17.0365;957428.39196435
2004-02-17;17.0997;17.1595;16.916;16.916;655838.59643971
2004-02-18;16.8598;17.0997;16.7333;16.8598;846190.3399914
2004-02-19;16.7956;16.9784;16.677;16.7333;491193.85221297
2004-02-20;16.7956;17.1595;16.7333;17.1595;1390875.0988081
2004-02-23;17.1595;17.4011;17.0365;17.0997;980017.18427924
2004-02-24;16.916;17.0365;16.5505;16.5505;1997705.495729
2004-02-25;16.6146;16.7333;16.4952;16.5505;1044567.4834829
2004-02-26;16.7333;17.3379;16.677;16.677;1601982.2655165
2004-02-27;16.9784;17.2174;16.9784;17.2174;1038153.5365089
2004-03-01;17.5188;17.8844;17.4626;17.7649;2492729.962831
2004-03-02;17.7649;17.8211;17.4626;17.7025;1147596.9124034
2004-03-03;17.5821;17.5821;17.4011;17.4626;971008.52490272
2004-03-04;17.5188;17.6393;17.4011;17.5188;1372705.2837998
2004-03-05;17.4626;17.8211;17.4011;17.6393;729926.73978617
2004-03-08;17.7025;17.8844;17.6393;17.8211;1295732.2299531
2004-03-09;17.5821;17.7025;17.3379;17.3379;937499.17986206
2004-03-10;17.1595;17.4626;17.1595;17.2798;720516.35519995
2004-03-11;16.9784;17.2174;16.7333;16.9784;1170126.527067
2004-03-12;16.8598;17.4626;16.8598;17.4011;1191392.926482
2004-03-15;17.3379;17.4011;16.8598;16.8598;589116.93264659
2004-03-16;16.9784;17.0365;16.7333;16.916;1399172.4883374
2004-03-17;17.1595;17.4011;16.9784;17.0997;1351298.9064789
2004-03-18;17.0365;17.1595;16.7333;16.7956;948242.19963397
2004-03-19;16.7956;16.916;16.677;16.7956;1595487.5182879
2004-03-22;16.7956;16.8598;16.6146;16.677;742130.99233214
2004-03-23;16.7956;17.0365;16.7333;16.916;1055846.5162116
2004-03-24;16.916;17.0997;16.6146;16.7956;849168.56909554
2004-03-25;16.8598;17.0365;16.8598;16.916;1572852.066671
2004-03-26;17.0365;17.1595;16.916;16.9784;672220.56356011
2004-03-29;17.0365;17.5821;16.916;17.3379;923335.23663313
2004-03-30;17.3379;17.4626;17.2798;17.4626;273457.65052872
2004-03-31;17.4011;17.4011;17.0365;17.2174;1075264.7520557
2004-04-01;17.1595;17.3379;17.0997;17.1595;513444.64909648
2004-04-02;17.3379;17.5821;17.2798;17.4011;1365532.2696449
2004-04-05;17.4626;17.6393;17.4011;17.5188;812156.36231147
2004-04-06;17.4626;17.6393;17.4011;17.5188;713595.98409477
2004-04-07;17.4011;17.6393;17.2798;17.4011;1361886.0159003
2004-04-08;17.3379;17.8211;17.3379;17.7649;946573.84508041
2004-04-13;17.8844;18.423;17.8844;18.423;1888614.9096787
2004-04-14;18.1234;18.423;18.0039;18.3686;1746986.8577069
2004-04-15;18.2481;18.5505;18.2481;18.5505;764065.41638761
2004-04-16;18.3686;18.6076;18.2481;18.6076;699526.49750154
2004-04-19;18.7253;18.9722;18.423;18.423;1146060.5695335
2004-04-20;18.6076;18.7253;18.1234;18.2481;1661414.8359157
2004-04-21;18.2481;18.6076;18.1866;18.4872;768533.3290597
2004-04-22;18.3686;18.3686;17.7025;17.7649;1735284.4771651
2004-04-23;18.0672;18.1866;17.8844;17.9477;600896.69934776
2004-04-26;17.7649;18.0039;17.7025;17.8211;438441.5282186
2004-04-27;17.8211;17.8844;17.3379;17.5188;818502.02738012
2004-04-28;17.5188;17.8211;17.4626;17.6393;1223872.3527839
2004-04-29;17.5821;17.7025;17.0365;17.4011;1183864.8464194
2004-04-30;17.4011;17.5188;17.2174;17.4011;473003.55263309
2004-05-04;17.4011;18.1234;17.2798;17.8844;1044288.6657028
2004-05-05;17.8844;18.0039;17.7025;17.7649;1554816.5394099
2004-05-06;17.8844;17.8844;17.4626;17.7025;895811.9386264
2004-05-07;17.7025;17.8844;17.4011;17.6393;1996590.2246086
2004-05-10;17.2174;17.5188;16.7333;16.9784;1506973.6844088
2004-05-11;17.0365;17.0997;16.2491;16.431;1753720.5916042
2004-05-12;16.4952;16.916;16.431;16.7333;1118110.5096184
2004-05-13;16.8598;16.916;16.2491;16.3124;1020870.2482381
2004-05-14;16.6146;16.7956;16.5505;16.677;1592215.6769909
2004-05-17;16.3766;16.8598;16.2491;16.4952;1492546.8558443
2004-05-18;16.677;16.7956;16.4952;16.5505;956876.44656294
2004-05-19;16.7956;17.0365;16.6146;16.916;1428406.2480727
2004-05-20;16.7956;16.9784;16.7956;16.916;620429.87639913
2004-05-21;16.916;17.2174;16.916;17.0365;589718.95144525
2004-05-24;17.0365;17.2798;16.9784;17.0365;602448.97466226
2004-05-25;17.0365;17.0997;16.3124;16.6146;1638697.4460124
2004-05-26;16.5505;17.0997;16.5505;16.916;938467.64488599
2004-05-27;17.0365;17.2798;16.8598;16.9784;675902.09628915
2004-05-28;16.916;17.1595;16.7956;17.1595;863414.45061087
2004-05-31;17.2174;17.2174;17.0365;17.0997;96887.471536116
2004-06-01;17.0365;17.2174;16.916;17.2174;488040.36621849
2004-06-02;17.2798;17.4626;17.0365;17.1595;505727.65576244
2004-06-03;17.1595;17.1595;16.6146;16.916;795642.38350743
2004-06-04;16.916;17.0997;16.677;16.7956;1327897.5594905
2004-06-07;16.677;17.0365;16.677;17.0365;1928323.1136915
2004-06-08;17.0997;17.5188;17.0997;17.1595;1112457.9058889
2004-06-09;17.2174;17.3379;17.0997;17.0997;1380083.1436707
2004-06-11;17.0365;17.2174;16.9784;17.0997;600315.1651207
2004-06-14;16.8598;17.0997;16.8598;16.916;925599.91982657
2004-06-15;16.916;17.0997;16.8598;17.0365;1466265.1504828
2004-06-16;17.0365;17.2174;17.0365;17.0997;1028554.2386513
2004-06-17;17.0997;17.2174;16.916;16.9784;648803.28412722
2004-06-18;16.916;17.2798;16.916;17.0997;896789.50790437
2004-06-21;17.0997;17.4626;17.0365;17.4626;594651.18107358
2004-06-22;17.2798;17.4626;17.2174;17.3379;216293.17741828
2004-06-23;17.4011;17.5821;17.2798;17.4011;762879.58729838
2004-06-24;17.4626;17.5188;17.2798;17.4011;648617.78495107
2004-06-25;17.4626;17.5821;17.2798;17.5821;794605.63657817
2004-06-28;17.5188;17.7649;17.4626;17.6393;714036.40238415
2004-06-29;17.5188;17.7025;17.5188;17.7025;853688.83122838
2004-06-30;17.7649;18.0039;17.6393;18.0039;2185419.2816714
2004-07-01;18.0039;18.0039;17.8211;17.8844;882144.17724286
2004-07-02;17.7025;17.7649;17.5188;17.5821;186622.41348892
2004-07-05;17.5821;17.7025;17.5821;17.6393;275494.72737106
2004-07-06;17.5821;17.7025;17.4011;17.4626;421265.21493286
2004-07-07;17.4626;17.8844;17.4626;17.7649;2092041.5000693
2004-07-08;17.7649;17.8211;17.6393;17.8211;1689723.3758337
2004-07-09;17.7025;17.7649;17.5188;17.7025;795150.75378905
2004-07-12;17.7649;17.8844;17.6393;17.8211;960901.66488213
2004-07-13;17.7649;17.8211;17.6393;17.7649;888773.21221864
2004-07-14;17.7025;17.9477;17.6393;17.8211;1485608.276231
2004-07-15;17.8211;17.8844;17.7025;17.7649;917684.90896708
2004-07-16;17.7649;18.5505;17.7025;18.5505;1599106.4592704
2004-07-19;18.3686;18.5505;18.3044;18.4872;1302534.2457557
2004-07-20;18.3044;18.423;18.3044;18.3044;512118.84210132
2004-07-21;18.423;18.67;18.3686;18.5505;1389740.4811478
2004-07-22;18.423;18.4872;18.1866;18.2481;778438.75745956
2004-07-23;18.2481;18.3686;18.1866;18.3044;432510.10670894
2004-07-26;18.3686;18.6076;18.3044;18.5505;1900338.9128238
2004-07-27;18.4872;18.5505;18.3686;18.423;1394012.652358
2004-07-28;18.4872;19.0293;18.423;18.6076;2818636.0828754
2004-07-29;18.3044;18.3044;17.8211;18.0039;3437188.2068779
2004-07-30;18.0039;18.1234;17.8211;18.0039;1383924.0008455
2004-08-02;18.0039;18.1866;17.8844;18.1866;1046041.2346062
2004-08-03;18.2481;18.5505;18.1866;18.3686;1883918.2526237
2004-08-04;18.3686;18.5505;18.3044;18.4872;1340184.8883547
2004-08-05;18.4872;18.6076;18.3686;18.423;977939.1382937
2004-08-06;18.2481;18.423;18.0672;18.2481;2255593.7338107
2004-08-09;18.0039;18.1234;17.8211;17.9477;612388.54401478
2004-08-10;17.9477;18.0039;17.8211;17.9477;524780.583413
2004-08-11;17.9477;18.0039;17.8211;17.8844;1952418.6600507
2004-08-12;17.8844;18.1234;17.8844;17.8844;1326918.8521808
2004-08-13;18.0039;18.3686;17.8844;17.9477;1455193.2395336
2004-08-16;17.9477;18.1234;17.8844;18.0672;822470.34411155
2004-08-17;18.0672;18.423;18.0039;18.3686;929696.83414637
2004-08-18;18.3686;18.908;18.2481;18.7253;1572844.1004488
2004-08-19;18.7886;18.7886;18.4872;18.5505;926838.09837655
2004-08-20;18.5505;18.7886;18.4872;18.7253;419352.18355187
2004-08-23;18.6076;18.9722;18.5505;18.7886;806801.92290185
2004-08-24;18.8519;19.6374;18.7253;19.5118;1687348.30356
2004-08-25;19.336;19.5118;18.9722;18.9722;775692.68683354
2004-08-26;19.09;19.336;18.908;19.1541;897116.1230182
2004-08-27;19.1541;19.575;19.1541;19.5118;1000244.5607015
2004-08-30;19.3932;19.4564;19.1541;19.2112;2186914.6553982
2004-08-31;19.1541;19.575;19.0293;19.5118;2895258.6229413
