,feature,buy strategy weight,sell strategy weight
0,volume_adi,-176478.617774576,423192.2356309513
1,volume_obv,-293566.0388353244,8752.409704698415
2,volume_cmf,418520.95061815577,431840.3546774811
3,volume_fi,-853856.8377133966,380931.8900730546
4,volume_em,933561.8624477432,16914.54106114208
5,volume_sma_em,657947.425432947,139370.50076868865
6,volume_vpt,112218.54520521311,152889.41881786747
7,volume_vwap,-405633.4768878718,678342.5759249426
8,volume_mfi,-6603.5566331541595,-539912.708838704
9,volume_nvi,-259987.11211152418,-526001.287887708
10,volatility_bbm,-82724.5384393445,263788.18874342943
11,volatility_bbh,-1079687.9635092744,377896.9855349683
12,volatility_bbl,-75052.0621831931,174839.92405659214
13,volatility_bbw,-87070.42026067876,-950196.6662957569
14,volatility_bbp,-302848.85842485575,-971255.381340219
15,volatility_bbhi,1551384.318614479,13983.880355719011
16,volatility_bbli,74543.49686798947,331520.4011865799
17,volatility_kcc,-176440.6300699391,211790.13233316672
18,volatility_kcw,38573.22559272027,-1266518.9538233103
19,volatility_kcp,140630.80996206336,-329438.8098641547
20,volatility_kchi,-9932.50377012065,-710292.9419375893
21,volatility_kcli,-111612.9682652374,579129.7243597572
22,volatility_dcl,-292987.7342500706,502047.225705089
23,volatility_dch,-199413.2565338185,-205986.33561635343
24,volatility_dcm,-114446.61430236897,52212.40184220663
25,volatility_dcw,660210.7885506315,-599626.2748469992
26,volatility_dcp,-27167.789033504272,-793931.8647499423
27,volatility_atr,181610.92721480562,-777814.5304442307
28,volatility_ui,-225072.52641145303,-446139.7009090401
29,trend_macd,240954.07827304822,471086.05499704607
30,trend_macd_signal,97945.01277066971,126608.67504912848
31,trend_macd_diff,-114232.78738948335,6538.554724116842
32,trend_sma_slow,-659791.7368630534,-70188.8581853578
33,trend_ema_slow,268750.94938417093,261431.4702765585
34,trend_vortex_ind_pos,478767.65372387966,-9264.1445389019
35,trend_vortex_ind_neg,218449.71687195022,-121459.25786484474
36,trend_vortex_ind_diff,452717.95294611796,435987.4081882289
37,trend_trix,421210.436544154,-322881.34475587116
38,trend_mass_index,371028.1047273802,-84897.6445115986
39,trend_dpo,-249682.93780448948,384286.063891075
40,trend_kst,475958.6801700086,-347584.8948273918
41,trend_kst_sig,-315232.526457781,-380392.70907322236
42,trend_kst_diff,281481.7008570597,-199686.5263209945
43,trend_ichimoku_base,-639457.1650355087,350571.6124331759
44,trend_ichimoku_a,-4301.853331324917,317561.0758364522
45,trend_ichimoku_b,-343664.6469436309,797070.8117979956
46,trend_stc,-1076324.093354537,732032.1517911917
47,trend_adx,338655.83870343067,-1023240.7250790006
48,trend_adx_pos,-125307.31265501904,393215.95058008196
49,trend_adx_neg,-151048.10505567153,567866.7775643644
50,trend_cci,-714343.1635503587,476982.2606071078
51,trend_visual_ichimoku_a,-577694.938685477,592680.49517981
52,trend_visual_ichimoku_b,163387.5656696263,451889.8235288343
53,trend_aroon_up,858246.3481172718,-171283.40841753717
54,trend_aroon_down,27344.241602066097,29470.15379663412
55,trend_aroon_ind,785893.069718852,-1307704.7438813932
56,trend_psar_up_indicator,64945.544633423,1197519.3316446492
57,trend_psar_down_indicator,1466764.6622263528,712006.6920348835
58,momentum_rsi,-353952.39420424507,-660799.2676044483
59,momentum_stoch_rsi,1185806.6292099569,-10890.520132663263
60,momentum_stoch_rsi_k,-754112.5796535274,152021.98981918994
61,momentum_stoch_rsi_d,-721556.5187342948,126629.64955015201
62,momentum_tsi,-51005.589329466435,-120887.62864912002
63,momentum_uo,-218508.90185941223,29681.75293824215
64,momentum_stoch,574718.9546929119,-372216.39111222647
65,momentum_stoch_signal,-170005.51668066255,-62493.415856701664
66,momentum_ao,705508.3953218966,89332.9813212136
67,momentum_roc,148879.10977109944,-5493.120158836087
68,momentum_ppo,-35594.177581865566,-85133.7287842418
69,momentum_ppo_signal,-470688.39717034396,443229.4771789668
70,momentum_ppo_hist,-185033.45604908303,-519386.6377359247
71,momentum_pvo,768697.0574908379,480605.9067290109
72,momentum_pvo_signal,85640.31188874735,-169577.71679661414
73,momentum_pvo_hist,649290.3214853384,708331.4378287625
74,momentum_kama,466035.30169283156,260593.507854085
75,others_dr,43697.981980064236,-444607.0342008661
76,others_cr,13661.05198488741,270817.3709746536
