gen,nevals,restart,sigma,avg,std,min,max
0,150,5,9350.251878710955,1094.1974961445335,197.9434091147211,707.4241722635552,1870.5854740918808
1,150,5,9026.414097319888,1157.1416069164666,249.44934249445538,751.4593994792742,2411.2803019908047
2,150,5,8898.618070462699,1201.8578527926677,273.96218913952714,790.0678537761785,2313.984491708634
3,150,5,8926.650756602708,1218.1298076854546,268.3986073127811,716.0030678858469,2002.9503465403036
4,150,5,9019.686563100191,1269.1105396567318,287.8789051078796,776.4974134852845,2123.1273290524823
5,150,5,9144.89575162233,1305.4951269719525,278.4066229734955,740.2717284924063,2103.576805813282
6,150,5,9452.288063479316,1314.1596807006583,284.80840021271405,679.5895778696002,2010.6643349019841
7,150,5,9819.752933129237,1382.0848613223977,307.99388464770647,627.4560497667202,2349.866905586704
8,150,5,10087.405155730903,1440.9048973986392,331.0359523052736,704.459657805959,2391.9644657472545
9,150,5,10144.89535637348,1373.1764730928096,298.97992518811145,690.5378049218705,2126.1883810184895
10,150,5,10252.707387326833,1410.7883808566596,276.4080245731486,805.212053021136,2248.8279996080646
11,150,5,10366.351264155217,1419.0920438186254,305.50633889523283,660.9396979754962,2158.740624036749
12,150,5,10632.22370161,1484.0012698182595,293.7839764580058,862.5506655250152,2429.8950521081106
13,150,5,10824.63587659601,1520.0194433632184,285.7181640024664,931.3401339749817,2392.931361106745
14,150,5,11125.313074674117,1526.0671317647673,305.89364809009015,887.4902390014133,2304.0364923136117
15,150,5,11479.453477594128,1481.9853429054933,281.4232516133727,973.5967948985709,2467.5178618618015
16,150,5,11660.162832986322,1506.0336859755134,337.8608912278636,821.1623514891171,2322.0363122225535
17,150,5,11911.834404118508,1538.3368998665967,299.9512690063704,958.869672912129,2286.730689409224
18,150,5,12175.150915905606,1539.895720462666,315.61854892646835,974.827212559241,2236.023622222192
19,150,5,12316.564927817513,1586.2222345569005,295.8063813043569,808.8022035863412,2322.078868494826
20,150,5,12437.764283532286,1662.5698937734899,336.5471663683801,936.7762153574837,2573.4826246649504
21,150,5,12625.862550403013,1563.5853532310439,309.5063863454137,795.5780305551264,2202.336628878148
22,150,5,12842.904558826447,1592.5677300296913,324.0791363846034,882.233173431505,2368.646082175777
23,150,5,13176.999819059745,1622.8660678502101,347.8022535493044,853.3055799726156,2542.1308203679705
24,150,5,13401.108711834095,1613.273979560231,314.65149142801033,1000.0,2236.280892973515
25,150,5,13462.652450930298,1690.676764497506,337.867693990788,708.0968030922202,2238.325796778214
26,150,5,13710.720483605905,1676.2651009100648,337.5206205138241,931.4776118866547,2350.9994954274384
27,150,5,14024.815574632976,1684.9674720128446,293.4762505054554,993.4487429832233,2308.3183519845848
28,150,5,14405.098190788434,1691.4131207428911,294.6501380988956,998.7698587514968,2386.7461663564354
29,150,5,14624.140251972016,1692.2013883941147,322.558993356213,952.2370919331507,2437.4641701038167
30,150,5,14701.788479992942,1655.722467084905,345.96077175240623,863.7865557144415,2336.440623152651
