,feature,buy strategy weight,sell strategy weight
0,volume_adi,-35.58323819028007,-16978.335804436687
1,volume_obv,-5781.831851762101,-4333.587336331723
2,volume_cmf,221.11175060757427,10205.123990137701
3,volume_fi,11061.25886728277,-1934.4787238311633
4,volume_em,-1049.9491822407351,-2462.348106143861
5,volume_sma_em,-17.61800694567907,7497.529009812947
6,volume_vpt,-9286.614819488841,5927.372184069393
7,volume_vwap,2766.597403470259,5740.27816293621
8,volume_mfi,12007.57214102282,-9128.234028152565
9,volume_nvi,-3184.886705383014,-2311.9293324507144
10,volatility_bbm,-11196.524886399286,1635.169341759757
11,volatility_bbh,-1318.0403029813638,-1013.9949748147278
12,volatility_bbl,-333.82441493430514,10058.55201057127
13,volatility_bbw,-5976.996158998914,-11484.750583204703
14,volatility_bbp,-2008.8671597132206,84.18885555908886
15,volatility_bbhi,759.991424722288,5665.082433678836
16,volatility_bbli,-9141.145910837755,8879.463791574506
17,volatility_kcc,2255.885315378203,4299.630064963704
18,volatility_kcw,-869.646039568361,5106.350506339098
19,volatility_kcp,6082.752323578439,4783.893027569498
20,volatility_kchi,-7433.259494823549,6828.27975443711
21,volatility_kcli,-1796.5822168237064,-4524.850638353624
22,volatility_dcl,-2164.884194445828,-1947.8224324034845
23,volatility_dch,-1987.0973322365612,1605.4635057399105
24,volatility_dcm,-4368.995875451974,3236.3324242632093
25,volatility_dcw,3509.1583162218694,-7950.845573439873
26,volatility_dcp,6331.09496940028,-10120.915125091924
27,volatility_atr,5888.534331712102,8323.66172875418
28,volatility_ui,2681.3090094913796,-5034.971234183046
29,trend_macd,855.8375566156283,-612.4181648659625
30,trend_macd_signal,-2034.2294568311995,-4665.261870178749
31,trend_macd_diff,13450.120454321821,-2536.374908591624
32,trend_sma_slow,-8341.694146893942,1101.8054536932311
33,trend_ema_slow,-313.33214083310594,4889.998931402952
34,trend_vortex_ind_pos,-1745.465228695113,1780.2103919081642
35,trend_vortex_ind_neg,-2246.71858928111,6783.154192880259
36,trend_vortex_ind_diff,4401.377778146639,2776.8089983321056
37,trend_trix,1759.9350519720015,-11863.772830262778
38,trend_mass_index,-137.31819256474716,2044.91792217193
39,trend_dpo,-812.3404797682897,11188.54817525961
40,trend_kst,13252.150255543762,-6129.983260692902
41,trend_kst_sig,5523.566020239178,3246.279704989921
42,trend_kst_diff,11963.212591979269,11916.112454639664
43,trend_ichimoku_base,-6106.848929018565,-9639.802513958404
44,trend_ichimoku_a,-4525.8348729684085,21.859604933840878
45,trend_ichimoku_b,-104.38392414179533,1632.2280895315985
46,trend_stc,-4642.506138113937,-6758.32531850047
47,trend_adx,3283.130819311767,4602.9776318115255
48,trend_adx_pos,-3395.566855528823,-2164.3722812413826
49,trend_adx_neg,4409.605888004691,-2587.6852440316684
50,trend_cci,-4461.386392333147,333.26462055044806
51,trend_visual_ichimoku_a,2312.289671803235,-6626.11183044458
52,trend_visual_ichimoku_b,2460.526143321115,14418.67912422083
53,trend_aroon_up,394.75662858564885,-292.38955004890994
54,trend_aroon_down,-2370.207196050475,-8119.037318387863
55,trend_aroon_ind,8892.54367362146,8642.517582394741
56,trend_psar_up_indicator,8783.530735055152,134.61299680075996
57,trend_psar_down_indicator,8231.55715121206,-20033.352046232292
58,momentum_rsi,1247.2635711511552,8783.871934524921
59,momentum_stoch_rsi,1980.1856193434473,15226.29978405536
60,momentum_stoch_rsi_k,2579.4801043332345,7453.059929582289
61,momentum_stoch_rsi_d,7752.543799809594,-14042.605264257621
62,momentum_tsi,10941.283491717455,-4154.273120842831
63,momentum_uo,-5710.684728260823,9321.461904619011
64,momentum_stoch,5847.917619591164,761.9796025128435
65,momentum_stoch_signal,5180.980278224034,-11076.808114003947
66,momentum_ao,6305.161094738383,8275.403014428302
67,momentum_roc,-7171.612740008383,-580.1060739922096
68,momentum_ppo,6904.279156865096,2655.045053003982
69,momentum_ppo_signal,3202.9921506851806,3744.0756017723315
70,momentum_ppo_hist,-11186.406260854685,-7756.155601017359
71,momentum_pvo,-2558.923372820532,3222.3113177754544
72,momentum_pvo_signal,4440.759845538684,5132.5282715023
73,momentum_pvo_hist,-2037.0370982419072,4414.451199689249
74,momentum_kama,9261.365467792448,1156.075731596508
75,others_dr,5315.455077108923,4483.1764188164025
76,others_cr,-3114.190228982974,11773.857125213923
