,feature,buy strategy weight,sell strategy weight
0,volume_adi,-3391429029.5277286,-1393244592.4635837
1,volume_obv,-325104283.3597115,14625836.370923676
2,volume_cmf,1765073340.6555269,399083232.45807934
3,volume_fi,51532042.47170751,-137551951.1190996
4,volume_em,-92839640.39907622,543468082.9008224
5,volume_sma_em,522999209.55817056,2418124296.2883224
6,volume_vpt,-192052136.90955603,870811470.6994454
7,volume_vwap,-1188306642.3322852,-1109855930.0080733
8,volume_mfi,3652313210.7709227,-3858559257.8168325
9,volume_nvi,2170649457.5061517,3281698620.7806892
10,volatility_bbm,-1285123185.0668387,1563900304.3537045
11,volatility_bbh,-730665618.3412855,-2443172200.3579793
12,volatility_bbl,-602393035.1938493,-801679383.1021225
13,volatility_bbw,1852972363.4391634,-192441930.1045099
14,volatility_bbp,-1898447514.894455,-1294098483.184753
15,volatility_bbhi,-752453187.0371121,-980878283.2156538
16,volatility_bbli,3075635369.7970905,-2179609338.9313073
17,volatility_kcc,-415265934.24698484,1368759750.4034858
18,volatility_kcw,1576227682.3208034,-1847652785.7890522
19,volatility_kcp,-2446570443.2691193,-2950205382.390739
20,volatility_kchi,-837447963.7173674,-3447609770.3750854
21,volatility_kcli,-2879038870.075041,1705780640.2488537
22,volatility_dcl,-1698486800.8978858,-333513689.46977717
23,volatility_dch,-546210598.8994558,2256787459.162833
24,volatility_dcm,-999201992.8508508,-800624626.3041092
25,volatility_dcw,192884055.4348743,-3116916873.185894
26,volatility_dcp,-3615290587.2737255,861280506.8921182
27,volatility_atr,-57654838.43782439,-4064113149.4754014
28,volatility_ui,63822368.16781441,-762587295.9268134
29,trend_macd,-1161571321.6555197,462058236.7237884
30,trend_macd_signal,606118060.5466483,-329330273.25999355
31,trend_macd_diff,194571371.8896166,-1009247370.7747661
32,trend_sma_slow,376991063.45607257,-2195509160.884516
33,trend_ema_slow,1623648360.4174657,2231873068.930528
34,trend_vortex_ind_pos,1643019543.564606,-1276372324.5811493
35,trend_vortex_ind_neg,3807975975.0518184,-451691661.57567835
36,trend_vortex_ind_diff,2156841088.79882,1731510042.3452485
37,trend_trix,-640371319.4776105,50818213.540734634
38,trend_mass_index,2336374215.027987,-1009548267.8759553
39,trend_dpo,-2337452366.8871937,-2903559985.6687493
40,trend_kst,-1217193904.9687433,694922583.5911133
41,trend_kst_sig,-701049599.5278933,-605406769.3256042
42,trend_kst_diff,2812096782.123122,-513018144.57383645
43,trend_ichimoku_base,-2212686990.9175777,561195532.3561476
44,trend_ichimoku_a,-801347924.9210514,-2276015245.3117847
45,trend_ichimoku_b,-503517880.16922903,-783606912.99991
46,trend_stc,37960867.073437095,1482274101.3452487
47,trend_adx,-3357510220.1645637,-734629532.1497416
48,trend_adx_pos,2364801143.9158306,1847112926.315061
49,trend_adx_neg,937039204.7189873,-1045418642.7590994
50,trend_cci,-3067055610.0974474,2488298000.839833
51,trend_visual_ichimoku_a,2534231575.3451033,-368014213.84009045
52,trend_visual_ichimoku_b,1772023297.0935545,-1106149202.9966402
53,trend_aroon_up,5120504383.538339,-1214100645.843662
54,trend_aroon_down,4320643407.996177,-2047899192.1282825
55,trend_aroon_ind,2484712990.6869183,-2557248948.898218
56,trend_psar_up_indicator,164972516.6589957,2947370238.329965
57,trend_psar_down_indicator,-892002758.4339786,852144395.7748814
58,momentum_rsi,777700080.3280808,-1948101068.4842777
59,momentum_stoch_rsi,-3184429264.949891,1414460786.0769334
60,momentum_stoch_rsi_k,-357564508.6299591,-887613565.2357343
61,momentum_stoch_rsi_d,-177905573.61333495,-3238902532.073972
62,momentum_tsi,199196275.1307459,1452002179.7925174
63,momentum_uo,-426130267.0762108,-3729721178.5475206
64,momentum_stoch,-1187398687.2170882,-1585724342.9653661
65,momentum_stoch_signal,-1904858530.178072,-1126644024.6960416
66,momentum_ao,265701441.468145,1671987365.5792189
67,momentum_roc,1463466648.740794,1186352090.8307064
68,momentum_ppo,-1616246705.644498,1587318100.653731
69,momentum_ppo_signal,-2443700669.21069,1901882446.3498745
70,momentum_ppo_hist,1198646673.7530768,1509327430.0100915
71,momentum_pvo,-1055950821.585762,718372576.2287024
72,momentum_pvo_signal,39535844.82830192,-2127221261.486986
73,momentum_pvo_hist,-2726695477.5698376,4487831352.536257
74,momentum_kama,-457748691.621752,447757758.1428043
75,others_dr,-2837855850.193559,1504393133.7865636
76,others_cr,619287392.2978742,1095906165.7938085
