,feature,buy strategy weight,sell strategy weight
0,volume_adi,-1474.5617594051305,-1761.8171773807421
1,volume_obv,1000.5953448828337,-1459.2743124687634
2,volume_cmf,713.2462379008765,-755.4342961089571
3,volume_fi,709.1950358554589,-733.3564143943875
4,volume_em,-663.7207179123874,268.1033164175298
5,volume_sma_em,-1787.0645711273837,607.8892087517951
6,volume_vpt,-969.8188219155826,-180.7142096671521
7,volume_vwap,-1357.491719326341,-74.69001525568467
8,volume_mfi,406.4216065303426,-346.8460950929302
9,volume_nvi,-23.982308107433482,-56.9563317816188
10,volatility_bbm,-2654.401981096005,-352.19448444992736
11,volatility_bbh,-1871.138018768757,426.98138309747924
12,volatility_bbl,118.36557338320017,596.0279410071994
13,volatility_bbw,-322.4462067974266,2750.082055247798
14,volatility_bbp,1328.4337790533891,-1017.9077728277673
15,volatility_bbhi,-1295.3334175410614,362.1722927796488
16,volatility_bbli,2344.854672823304,2154.1686517727494
17,volatility_kcc,-225.086352921945,269.5299098194158
18,volatility_kcw,1974.8541181984888,-176.67689872395883
19,volatility_kcp,-1759.046842175896,-1168.779378086593
20,volatility_kchi,-356.6014983956903,753.5405125947922
21,volatility_kcli,-726.3869254218894,-222.8239313929034
22,volatility_dcl,605.3037466023093,-424.9210352395106
23,volatility_dch,-1638.8997655595497,-917.7991871178267
24,volatility_dcm,-320.05519009371386,-2560.852317256571
25,volatility_dcw,-398.61599628080734,310.7138887006111
26,volatility_dcp,-485.4964752432944,-922.123597353253
27,volatility_atr,-1149.8617544271347,318.23648519059304
28,volatility_ui,-1614.5445140268444,963.7321009635997
29,trend_macd,-1174.74767323652,-1431.3625245634153
30,trend_macd_signal,-418.1334500549618,-1003.6354524608503
31,trend_macd_diff,224.32594489590758,-1616.1025204543748
32,trend_sma_slow,-578.953972376773,-1342.2558726133207
33,trend_ema_slow,-781.8094240254096,-1480.2257834472516
34,trend_vortex_ind_pos,-752.2315197519483,-6.855431886756733
35,trend_vortex_ind_neg,-318.7018089005605,-243.98441848329125
36,trend_vortex_ind_diff,-615.2919503595243,-1239.5601851819247
37,trend_trix,749.5022696691177,-1401.8459424729408
38,trend_mass_index,1167.5802891971734,1388.2411145443652
39,trend_dpo,-391.68145568747,-764.1175911608296
40,trend_kst,-1946.4519698728855,-996.8932792722671
41,trend_kst_sig,-892.1876210056612,-1051.6610344969124
42,trend_kst_diff,671.7839557516525,-904.5257348154205
43,trend_ichimoku_base,718.280652620827,273.8212727672134
44,trend_ichimoku_a,-174.2145987123572,-177.8939704941123
45,trend_ichimoku_b,-456.98399985255315,-597.2582938245727
46,trend_stc,1096.2650587703884,-736.5771643001405
47,trend_adx,952.0697743596797,-988.5020921453624
48,trend_adx_pos,14.407599107826684,-236.36618675311348
49,trend_adx_neg,1032.843883577571,-1374.7594422201437
50,trend_cci,-1207.9126704818889,1857.651191452884
51,trend_visual_ichimoku_a,-309.09874031371186,-481.12102891584374
52,trend_visual_ichimoku_b,1720.221560395113,601.4421298245035
53,trend_aroon_up,688.1407944327489,1081.617722804278
54,trend_aroon_down,-180.59051303008513,-519.687032336592
55,trend_aroon_ind,-266.9993943442212,128.33321915992877
56,trend_psar_up_indicator,-454.84258793882134,-473.304610827597
57,trend_psar_down_indicator,961.149271575956,952.712072411073
58,momentum_rsi,1427.7823949734066,-425.14752396571396
59,momentum_stoch_rsi,866.9083999979518,2785.969149231234
60,momentum_stoch_rsi_k,-643.9802177469624,-415.49535882917337
61,momentum_stoch_rsi_d,-1996.6888125981723,-47.41595501587926
62,momentum_tsi,-137.6031985190071,1469.3323609531453
63,momentum_uo,-142.405153531957,-1118.5763988693222
64,momentum_stoch,-1265.1726676197095,-51.10268269625061
65,momentum_stoch_signal,-1018.7607039358256,694.2521189470217
66,momentum_ao,601.9186727616485,418.985629641987
67,momentum_roc,-309.47188906834356,808.2141386640159
68,momentum_ppo,-701.5871940392549,398.6682854364121
69,momentum_ppo_signal,94.39701173010923,-401.3448724459321
70,momentum_ppo_hist,-472.8145512869968,-466.9991023446461
71,momentum_pvo,754.2620789397514,1380.7409236262522
72,momentum_pvo_signal,1918.4400788224502,557.1850982917193
73,momentum_pvo_hist,-61.616096098516806,1465.8318244526984
74,momentum_kama,-280.57036461416175,-828.6555613164242
75,others_dr,367.60053902998516,1612.330344539627
76,others_cr,38.327751168463465,1043.849990334816
