gen,nevals,restart,avg,std,min,max
0,300,3,1066.354492677715,200.13182347420604,605.0301077507515,1943.7266904233197
1,171,3,1348.126883186638,274.72689855432554,679.205960749408,2216.487545080456
2,167,3,1692.3127194911667,345.87798577866545,760.4521344617216,2334.886719692175
3,178,3,1883.626611758483,410.5579740363713,649.4026654286566,2412.357283785546
4,165,3,2056.4217771894273,374.57653800950266,664.1705892131839,2448.6982399318667
5,188,3,2140.7232631395323,362.56332326076387,938.0073211205387,2464.7371035930496
6,180,3,2107.2642990613163,441.40364799589327,739.6058594816274,2490.544605604706
7,182,3,2284.297532667993,278.8206558836477,1164.7918488038304,2528.762468897115
8,181,3,2419.7976514976904,120.9190707569123,1609.7476154569017,2557.296333434088
9,198,3,2417.056553720845,163.05970744545039,1596.399158138988,2560.154657463367
10,185,3,2490.136600630905,124.94061040207147,1607.9453676916596,2672.568613098614
11,180,3,2522.7430488004024,167.6807937758378,1359.8313316264,2697.1140351050085
12,174,3,2564.245616493745,191.5171715781008,1567.953866774079,2699.2346541106713
13,173,3,2594.333482057453,245.6552028607684,1242.4898646238714,2699.2346541106713
14,189,3,2556.700151393799,291.50331742149285,1441.3626437060207,2699.2346541106713
15,184,3,2535.2844883827247,323.56472038156215,1158.5471312151444,2699.2346541106713
16,180,3,2567.2949260104106,291.5574733295527,1423.805521321736,2699.2346541106713
17,194,3,2575.2984219908612,297.3389072789078,1000.0,2699.2346541106713
18,199,3,2548.7390514056183,327.22485493848944,1270.543350641705,2699.2346541106713
19,182,3,2566.6135537630194,296.2274105580083,1337.6274456847916,2699.2346541106713
20,173,3,2585.2515882799285,274.01651545926575,1429.76027421235,2699.2346541106713
21,182,3,2562.5754641271396,293.7193192781069,1328.131767930349,2699.2346541106713
22,199,3,2515.0853361417926,351.9539840431611,1358.6416118339591,2699.2346541106713
23,185,3,2571.3044306235265,285.2207165149495,1297.574610963997,2699.2346541106713
24,173,3,2567.693838228375,302.0405572818751,1136.174296606063,2699.2346541106713
25,194,3,2559.191527764506,311.81327522701,1315.7057299687622,2699.2346541106713
26,159,3,2568.0024474318493,303.4564881956304,1428.7528326717616,2721.5082422305886
27,166,3,2576.381598372964,287.1614357496863,1429.76027421235,2721.5082422305886
28,196,3,2576.122806242756,279.5192042282596,1487.8026156024457,2725.3589455209135
29,171,3,2598.4204836965205,286.4711850765466,1374.0441665850774,2725.3589455209135
30,181,3,2558.0076263776964,327.80988710231446,1451.330054619792,2730.719181979826
31,192,3,2587.700815534799,337.29443090997756,1016.5769872470613,2730.719181979826
32,185,3,2571.2649473227007,328.39192876290076,1313.0603002421844,2730.719181979826
33,158,3,2611.2004492928654,300.77320930805035,1424.6700305328293,2733.6548348191077
34,173,3,2594.836960086677,328.45746123084376,1257.2220736407398,2733.6548348191077
35,194,3,2610.5226104669428,309.7803609765936,1355.3651135308307,2733.6548348191077
36,185,3,2633.6107447872287,291.0900437737942,1358.6416118339591,2733.6548348191077
37,172,3,2659.8035195072043,234.3824173852211,998.9048334358812,2742.1576707314584
38,166,3,2618.5138228983838,294.2963618419937,1350.2570411946695,2752.99506450763
39,187,3,2602.552880157566,315.69956077875264,1454.2425275334513,2799.344473448236
40,182,3,2547.7030284747248,368.8482452911829,1415.4464748833052,2799.344473448236
41,178,3,2615.918212445789,326.2355085846917,1304.2319245117994,2799.344473448236
42,178,3,2697.756962352563,266.40468828374173,1427.4043476366144,2799.344473448236
43,190,3,2710.1715284298525,260.08935345163053,1492.0158651135666,2799.344473448236
44,180,3,2714.1925035552254,252.52052814057254,1016.5769872470613,2839.5669879178113
45,177,3,2700.4336486326383,262.53563230698796,1525.9067134657769,2839.5669879178113
46,199,3,2735.59413363653,223.3422075774734,1577.4291207266065,2839.5669879178113
47,164,3,2755.048209805703,254.99806086678112,1439.93896616058,2839.5669879178113
48,183,3,2783.7692267970406,197.58272038238803,1496.981730202604,2839.5669879178113
49,170,3,2760.6822318754553,248.8872250139479,1446.8156559498236,2839.5669879178113
50,174,3,2759.621109457996,244.73051132076526,1462.9253428784045,2839.5669879178113
51,166,3,2744.828276057509,259.58617553479525,1467.5285683433444,2841.7468467949893
52,165,3,2721.220865482658,317.6977446418706,1242.4898646238714,2844.040045503189
53,172,3,2725.4107528357767,309.2140599057378,1337.714272969131,2844.040045503189
54,183,3,2730.735807204079,301.7720338636231,1320.2379738736042,2844.040045503189
55,180,3,2747.512749216923,242.98456813610224,1510.4819477836106,2844.040045503189
56,180,3,2732.7315035519005,266.8520102760393,1497.411850693184,2844.040045503189
57,181,3,2757.084321751079,260.0496963524362,1253.8469821884003,2844.040045503189
58,174,3,2758.591998126214,235.94770331743487,1328.5247931526364,2863.1761055712905
59,180,3,2749.7872443966457,258.73052843006883,1277.5134572177235,2863.1761055712905
60,196,3,2725.1024720607616,273.71174061294846,1516.774769320903,2944.2855654687737
61,204,3,2735.764882267971,332.16666501790513,1304.2319245117994,2944.2855654687737
62,177,3,2813.8502589917935,279.79815167634627,1478.9757673280226,2944.2855654687737
63,171,3,2831.860549471456,279.406542254451,1426.6586810881029,2944.2855654687737
64,177,3,2819.969490420232,310.57927920511503,1429.4006598054884,2944.2855654687737
65,159,3,2850.203914406624,269.33185865544135,1368.233688258741,2944.2855654687737
66,166,3,2830.4524268527975,287.70577997495906,1298.564283290379,2968.581268657378
67,192,3,2780.8519963712424,367.2949455385619,1336.556289173569,2968.581268657378
68,178,3,2831.2081878830827,297.9693122718032,1330.5462977002433,2968.581268657378
69,183,3,2839.3373422221403,307.6031520756876,1417.921121061063,2968.581268657378
70,185,3,2827.6377555298022,329.6915574558689,1524.089154350634,2968.581268657378
71,173,3,2878.248282747354,255.75590039782372,1437.0378507276391,2970.9417985691266
72,188,3,2859.151802669803,294.84870298885005,1304.2319245117994,2970.9417985691266
73,185,3,2797.3566205699713,335.8953115811308,1375.2209392406965,2970.9417985691266
74,190,3,2867.891552132776,245.94037393830072,1413.2518073672964,2970.9417985691266
75,168,3,2853.817327409984,283.90140065686546,1539.470502905609,2970.9417985691266
76,162,3,2853.90669478884,287.92532646660163,1594.0289121743097,2970.9417985691266
77,168,3,2850.4327715720988,270.1241120029963,1595.3856768429105,2993.042613163165
78,176,3,2831.2574765691843,320.3282674658462,1507.4936873343456,2993.042613163165
79,181,3,2866.8790606148264,258.29914260775945,1555.0316484110706,2993.042613163165
80,171,3,2831.512242800589,356.21366772962284,1343.6165438897308,2993.042613163165
81,180,3,2878.142883028646,292.58536208803844,1547.8317626547928,2993.042613163165
82,166,3,2883.1417943971815,298.86071424170404,1381.4434696070998,2993.042613163165
