gen,nevals,restart,sigma,avg,std,min,max
0,50,47,953.8023415314826,981.4909932028122,353.4091605918712,324.7742549715875,2067.0883582170723
1,50,47,922.834655075962,1197.5759926742085,488.48125459136094,490.01750141310066,3091.0104563320992
2,50,47,903.0021586259548,1258.3228312481451,559.4283974434721,385.4567548680844,2889.8373673191836
3,50,47,887.4069117199164,1306.7844890572057,719.8104322108671,418.0837022231318,3931.484230563855
4,50,47,879.1882607975776,1332.306763911487,614.0646318670756,422.21753605759415,3479.9743255928774
5,50,47,874.0707803235157,1744.7613523965329,761.7574581472971,559.4106252481401,3759.225965681669
6,50,47,869.4944058164567,1757.9659899035078,604.4302082873486,600.734198660642,2916.3935882390183
7,50,47,867.7739829030417,1851.2589878698404,703.4366420424938,562.3239718687173,4015.189787788519
8,50,47,868.4381023062214,1912.6287974508682,701.5067716501351,514.3966691762782,3748.1160137816505
9,50,47,868.1503207313905,1868.6218148493197,780.1873387206573,632.8392373203841,3902.431085271416
10,50,47,865.6936055437129,1901.1432913033416,707.7383397366817,455.9293701641795,3360.050833467944
11,50,47,865.1829670326787,1885.201547230941,769.107665799229,713.8187072447181,3730.3805938085084
12,50,47,869.2654744580603,2040.4750012194086,793.0085977474956,708.4823610308622,4035.5632746370566
13,50,47,875.45535399497,2219.1655398899948,626.6602356049497,895.9612546481169,4087.0229266970287
14,50,47,879.1999392304932,2118.6271421771253,793.1471423979489,599.9641015627233,4174.807920990842
15,50,47,877.2868163431973,1998.2520678997878,814.3777530996394,804.1880111747694,4725.450489319965
16,50,47,875.6737012463017,2053.260094261099,876.4338720327269,792.9473534622631,4587.288458053576
17,50,47,879.0453249922388,1920.3482506799219,884.0004006613369,422.184232897724,4827.603480918612
18,50,47,884.1415070766155,2030.7932733896441,765.4903096473753,540.3523193872995,3881.655246620647
19,50,47,889.0178495570965,2163.6260653381446,910.5366432193688,1114.8103190592014,4368.392694787015
20,50,47,897.4697898272142,2212.096491793461,988.7314177768375,580.2999039197912,4458.004038212197
21,50,47,906.5738119795413,2194.123818511739,1008.0951918794485,784.52829142972,4844.6408417839475
22,50,47,910.3087968036128,2095.0423264013407,1081.07841088048,634.948728024742,6437.937310273373
23,50,47,913.4713735588444,2003.3337203237086,974.6768694397842,702.8726530254824,6144.5860923114915
24,50,47,917.1051299966889,2044.968237554132,875.5420780623605,573.2676931254114,4349.335287755574
25,50,47,919.9348688200504,2240.195437103489,998.4719005932646,719.8014385678722,5683.65917640306
26,50,47,923.2817986128521,2342.846292447508,907.9840203341906,640.7363509327189,4596.666712824012
27,50,47,925.5819015913651,2331.134877838887,1086.2832559798032,497.6587616051012,5928.832408678712
28,50,47,928.3550052330521,2571.3808733698233,1325.2842816709729,839.0432942497987,7373.593703310229
29,50,47,930.3534830384705,2124.210417724251,1054.260780758962,555.0951337197205,4180.103250988501
30,50,47,930.9022431464793,2223.289317503918,1029.4113232254492,824.2503385204726,5383.068893114081
31,50,47,930.3064531363166,2536.330263869701,1141.1649570211534,798.5735769312779,5797.212103013828
32,50,47,927.6314702688907,2160.218815262928,1065.5627013577962,614.7205022050741,6146.786113538107
33,50,47,927.5969561207557,2250.707171606728,1045.2038336398548,580.6503935717508,4853.132864547014
34,50,47,927.3208051588429,2597.7373403656284,953.6340657848012,1102.625819017901,5609.942502315323
35,50,47,926.9538891928977,2420.6000280931985,1211.7985139023156,767.0126837638176,5474.935262365209
36,50,47,928.4352254431769,2326.475270283361,1035.6528853283673,570.9948982602175,4584.150910672147
37,50,47,930.1343741036885,2044.276246669603,1061.321740134683,448.1870824630025,4803.3408589992605
38,50,47,931.7938000634888,1969.3650751851078,808.2602158058087,478.0605629414403,3572.2388022307105
39,50,47,934.603041268065,2413.551399738155,920.3938369375958,248.73667453463383,4075.882258256389
40,50,47,941.9247804430003,2154.2268586736786,1035.0199278178166,442.7553772609585,4835.77014170547
41,50,47,947.7260636672125,2285.0503706966574,1079.3968233947846,428.42179239163033,5092.188841770057
42,50,47,950.2786855112798,2369.1839879531512,927.6845911255211,612.0411896555518,4094.0798851420095
43,50,47,957.5969674563048,2353.095376150308,980.2499870221502,897.1405402464884,4678.061195598597
44,50,47,963.3165911118025,2178.2904759890093,846.2740697420702,921.7674061644234,4269.069166188009
45,50,47,969.1135209483962,2358.1485035208707,888.2616145539944,801.680443164965,4726.4793657045675
46,50,47,976.4868910837043,2569.90709424074,920.7212109656667,758.7221273430216,4574.594619087552
47,50,47,983.4740457429862,2497.934345106227,1083.4272188766995,690.9849098911563,5295.303694905458
48,50,47,985.8664728986689,2504.553839876477,1112.5403625753809,404.90699064875673,5342.619145414439
49,50,47,991.5887929405181,2279.3050251434624,878.6035527399056,756.1069448674697,4338.978598609971
50,50,47,992.9533503868594,2686.2195737013612,1138.1023232829982,764.7248849013549,5335.716280254341
51,50,47,993.9096976354745,2244.110836987753,1006.464305326564,408.0162622252157,4338.279367662995
52,50,47,990.4077046568062,2699.200748445476,1094.3809974849255,963.473128959667,5299.962844145407
53,50,47,987.3693972808659,2578.6895884334713,987.8413114981113,827.7462443651057,4338.279367662995
54,50,47,982.9853109661054,2716.2399632083334,869.3451637393039,939.9757767337738,4537.525168371174
55,50,47,977.7559557462705,2696.9469279328714,1096.150558950594,824.0580714824475,5193.418454822404
56,50,47,974.9918796984548,2358.5401685731267,860.432613950066,665.2597887025173,3968.963734441379
57,50,47,974.7902197342643,2520.7656297764,976.8682496635704,951.802298727426,5274.167682216632
58,50,47,974.036390551247,2621.174787184246,1122.827897242419,725.1713288153644,5234.934984754296
59,50,47,976.6867984135938,2671.2494605022052,959.8722632182429,918.5208502465689,4906.0620035192105
60,50,47,982.0023368169592,2490.533840913488,1085.3216432183476,816.5554172272336,5658.265871531249
61,50,47,988.8838936082918,2386.99571616601,1125.83243554138,461.05945878284257,5188.9837092129565
62,50,47,996.4242141903535,2563.451266537893,1031.6698409765625,806.679242568024,5313.8837691681365
63,50,47,1003.3907763844501,2839.4252977766005,1095.2130295937761,447.1880279283959,4915.109932925517
64,50,47,1011.3772056227075,2919.8355232549366,1199.400772357796,685.6103429707366,6555.396725900357
65,50,47,1018.2024255286993,2592.352180373218,953.577347021737,950.162629019591,5127.067757583403
66,50,47,1027.812422113779,2759.668682696455,1108.282582668825,578.7151937224994,5003.723445948028
67,50,47,1037.143169649878,2992.9421971889597,1104.5405466440973,961.6536423136779,5210.971054265122
68,50,47,1039.881975979753,2920.569948711951,1155.876921354166,950.8587910311265,5297.717296158139
69,50,47,1043.1316086961112,2968.9062581342437,1087.7008630994997,1162.3540824655802,5727.370637565439
70,50,47,1046.9840163484134,3095.6442106244704,1258.524451854027,830.1066295977498,6047.658158815949
71,50,47,1053.7400059107022,3070.796693520573,1108.0516305894319,1165.614579553844,5436.1090922658495
72,50,47,1058.1725729940865,2810.2584541870247,1289.5639051455241,660.7211745616239,5662.125451106445
73,50,47,1071.1557905107454,3042.3551400320507,1235.376392878536,690.0701338166281,5946.4331436714365
74,50,47,1087.3603191201062,2947.398674368534,1212.5983943261228,733.3347163238441,4944.508875400091
75,50,47,1099.9740472765136,2980.327328429688,1198.9011274489487,912.7501295020149,6288.678270008794
76,50,47,1113.981690703957,3187.14597573807,1303.4772311504626,883.4444931725662,5503.998769666022
77,50,47,1134.6288927788803,3020.75651648944,1505.0842461132672,668.972343652102,6356.970460282297
78,50,47,1154.8795284629914,3123.0749986582646,1363.907923500417,526.2381751150494,5948.040505909285
79,50,47,1171.289709107952,2867.8671799271515,1356.6501830914547,843.3877735014254,6210.396364731477
80,50,47,1186.0106412937178,3152.058919711442,1380.9814751721865,515.6193286795983,6461.764403223148
81,50,47,1207.7409278239595,3056.8102872120216,1148.304451675726,1064.2216875398096,5155.338815747066
82,50,47,1230.7151506943837,2967.958552046105,1336.5864775530779,372.0113993839139,5184.42639027341
83,50,47,1248.6868978820805,3084.6506057302195,1391.2984100284568,784.893442571111,6718.245772623949
84,50,47,1264.081067492384,2675.2490679770503,1466.9251759499261,237.01940234905487,5906.572730575352
85,50,47,1277.038329222878,2927.7128965733755,1249.6936032308852,1019.8508907528155,5769.312303551622
86,50,47,1286.4154932688657,2748.31698444553,1235.0392281442894,483.6590900945456,5078.7666748163665
87,50,47,1294.3063613425122,2992.3668992876114,1177.0104448739683,627.0202459573653,5177.642103596564
88,50,47,1294.2540085436683,3336.273952192058,1207.748612822713,608.9461446842092,5822.303915719808
89,50,47,1293.3805886587354,2752.924515345785,1151.297105358431,722.0360026614748,5485.404580941067
90,50,47,1297.094097747818,2930.434044464647,1243.6817713896019,659.7266011569518,5681.1542852859475
91,50,47,1301.2150237896337,2979.460702427386,1233.8137405018922,1013.5184424311344,5167.845006518618
92,50,47,1307.9690892100691,2607.1851405947614,1249.5203357421876,689.7378246654065,4975.047674440826
93,50,47,1312.0199684479485,2901.5932042843483,1274.8536440055882,723.6918691384654,5384.329013713436
94,50,47,1309.4017121729187,3013.6044657838547,1231.9593736752486,1158.2949315486896,5846.668673333519
95,50,47,1308.1289024082657,2941.5071229158093,1233.5676693890566,984.8461281309537,5747.216689205521
96,50,47,1302.499327750222,3464.244663554086,1224.2762942941004,1001.3727827737447,5679.543225060487
97,50,47,1291.6350905736451,2785.6279691088234,1464.883252372764,571.6414178775337,5249.5654756878
98,50,47,1288.2895978542497,2947.840404527486,1488.828350419043,747.5911514424982,6414.374147049609
99,50,47,1285.295475099633,2796.7466413903517,1261.936195937277,713.1365790232612,5918.329877786219
100,50,47,1281.2683057207203,2980.7054938730807,1250.6002630367536,862.95777116434,5913.806275100849
101,50,47,1276.3994432021327,3181.3878557024727,1334.2100535324423,866.9199633298199,6068.550435478346
102,50,47,1268.0869313638684,2776.3952174350184,1165.1885955703208,889.916761142438,5081.733943665154
103,50,47,1264.1877113596875,2947.673415067996,1300.1941618761728,687.0735427754762,5128.5823287068815
104,50,47,1263.7507758623358,3014.40839066279,1233.2825423796764,1121.4455484570817,5338.077937635519
105,50,47,1271.930174593467,3378.81972427835,1316.487749927567,676.4553081970957,5737.0267058616055
106,50,47,1280.4397024895507,3029.632072964253,1407.0510530088588,681.1298589175342,6191.442852753964
107,50,47,1288.3057760617976,3176.2159241540435,1405.6301054511387,845.5647034017851,6038.468254476397
108,50,47,1296.182864948159,3209.950591655439,1304.3645419338523,783.1802999974475,5737.0267058616055
109,50,47,1297.5160479985623,3249.208041062704,1371.8035417354188,1077.6212724152765,6168.305284317079
110,50,47,1290.4068297205674,3095.0927539832865,1516.611858132871,289.3486368645718,5395.411956750747
111,50,47,1287.6575249335317,3087.427929181307,1478.0342975432395,651.2061652866705,5716.20928102519
112,50,47,1290.1362060914014,3044.796561600151,1449.0784706305255,1020.7429378032209,5889.249416190633
113,50,47,1289.7695036218506,3212.3003003258113,1475.7310505025137,549.7985762769804,5825.889383838055
114,50,47,1292.6248742235794,3064.885964286327,1569.215374758046,611.3576610833218,6211.982160574817
115,50,47,1295.724458732419,3063.8440595326038,1128.2547439301234,1419.1843911040505,5696.315571069601
116,50,47,1296.1058874542962,3699.2291726516846,1224.0434725196092,1715.582250719427,6168.305284317079
117,50,47,1294.425004619103,3286.687489652083,1455.4102949071334,499.550346131031,5847.841696182288
118,50,47,1292.7952442949402,2751.1597161746904,1364.909788415096,413.9372461355625,6199.800775262335
119,50,47,1289.4438368721335,3840.4331549381623,1209.2839598239198,1558.763919188137,6018.741836745652
120,50,47,1276.9375750852078,3681.106062678159,1590.0638144769928,598.9043522282718,6038.0721305636025
121,50,47,1266.4994537193259,3100.30950449322,1521.242543049942,510.16918014822187,5654.924225070779
122,50,47,1263.3680977161694,3629.743782663714,1523.912996594495,731.2007335511049,6181.74938800336
123,50,47,1258.9739399769696,3157.1424338245993,1681.387014572223,653.3076175076569,6168.305284317079
124,50,47,1260.075807060526,3236.059718386316,1631.8006959966192,606.4180361284274,6041.180358439675
125,50,47,1268.0264776700665,3611.192379285721,1773.1556012745107,718.7071506726727,6595.018013442642
126,50,47,1274.5576185815908,3294.2272046573275,1579.9380959034472,598.1145650178254,5737.0267058616055
127,50,47,1280.6201725442518,3459.5473042931885,1442.0980894100514,1129.5937504476692,6087.279354785396
128,50,47,1287.2466323993267,3521.230140816886,1631.3438850178875,719.0245086764769,6265.793389028862
129,50,47,1287.1832251729338,3729.481128356339,1431.462753655785,738.083725269216,6168.305284317079
130,50,47,1288.0764449651585,3570.3873173577804,1477.615998624129,1181.7947692387918,6038.468254476397
131,50,47,1288.8272816271392,3031.2075246901218,1541.969532514543,721.5245156892876,5820.962338950634
132,50,47,1286.7376068217,3349.530522369125,1551.1842398109857,810.4244991225227,6038.468254476397
133,50,47,1285.9640734189327,3528.644870100926,1645.0698222267524,880.8452687000661,6118.034822222987
