,feature,buy strategy weight,sell strategy weight
0,volume_adi,-34292.24102945471,-3069.126626387172
1,volume_obv,-31353.031484552597,-9322.020887704255
2,volume_cmf,-5282.898190843955,14260.830967744629
3,volume_fi,-22128.44387509225,-1895.9920794424836
4,volume_em,8534.80690447044,-8677.62312997816
5,volume_sma_em,12175.000068231991,-16884.19862641566
6,volume_vpt,-27338.0510811627,22028.885210621804
7,volume_vwap,6488.618173072398,17310.23381233159
8,volume_mfi,41901.173605230295,-21158.058421561524
9,volume_nvi,1788.4181601744065,22291.850271967134
10,volatility_bbm,9308.462347740397,-3585.2710061526373
11,volatility_bbh,21268.20479822163,-1500.6046533087092
12,volatility_bbl,-14052.852236659663,-5444.0362296730855
13,volatility_bbw,676.6700900318069,-1538.798505776225
14,volatility_bbp,-12894.281141790709,-7286.176523856168
15,volatility_bbhi,3703.8788553167005,8680.359414902645
16,volatility_bbli,10098.1456487055,-20024.22166141989
17,volatility_kcc,11659.634897543141,4469.13902475453
18,volatility_kcw,16212.196156249189,-16744.552304007146
19,volatility_kcp,-13482.573265787523,-22344.77692639968
20,volatility_kchi,-5492.491121976577,-16514.853386520543
21,volatility_kcli,-23796.906832655004,26874.85933061486
22,volatility_dcl,11728.038983243052,15623.073634745038
23,volatility_dch,-3882.9625734931506,-6552.698795737513
24,volatility_dcm,7033.0681929522525,7846.392754910354
25,volatility_dcw,1550.4477803791717,-8807.074272994345
26,volatility_dcp,-26398.445021243002,151.20186008272435
27,volatility_atr,15859.174978317415,-17197.019904851884
28,volatility_ui,4973.379750035454,12981.315601607525
29,trend_macd,-7278.424143148232,987.6004066596577
30,trend_macd_signal,-4382.052254661685,-2486.0820898767506
31,trend_macd_diff,-3457.2207902630958,8788.187297547842
32,trend_sma_slow,-6597.892922464916,-4420.563633278073
33,trend_ema_slow,5351.903159263153,-12297.336601366349
34,trend_vortex_ind_pos,25405.65676571472,6228.44131386604
35,trend_vortex_ind_neg,-2306.322897324523,-25984.524153130507
36,trend_vortex_ind_diff,19514.428478250473,5633.782122210642
37,trend_trix,-8840.72930132936,-3924.6985363800204
38,trend_mass_index,8508.722688852204,-5682.945791453474
39,trend_dpo,14716.409484707974,-9434.93808143171
40,trend_kst,5670.592314851525,123.76506898417836
41,trend_kst_sig,-2903.6269037219545,20437.14967423387
42,trend_kst_diff,7573.639877550962,5475.501434869378
43,trend_ichimoku_base,-10809.844908981575,7967.192803430743
44,trend_ichimoku_a,-847.0225775359978,19040.71004954787
45,trend_ichimoku_b,3221.4322557827263,3376.8058452440555
46,trend_stc,-14157.779125737135,16164.784701747725
47,trend_adx,-13262.146212694413,16558.681180602824
48,trend_adx_pos,-15699.245133372422,-2966.629340076351
49,trend_adx_neg,4317.660437191825,-15278.6696793206
50,trend_cci,-11953.100834818297,4676.507514583801
51,trend_visual_ichimoku_a,6579.702338946022,-6560.954490648717
52,trend_visual_ichimoku_b,9378.461218176943,3454.532262791414
53,trend_aroon_up,26298.55355195503,-8704.868178952951
54,trend_aroon_down,27582.75917475288,913.6729960064479
55,trend_aroon_ind,13106.635361073422,-16641.187365453057
56,trend_psar_up_indicator,-713.2775628960541,-13893.000319039753
57,trend_psar_down_indicator,-12113.135067630617,21475.892097996188
58,momentum_rsi,12992.847594879755,3870.001368449511
59,momentum_stoch_rsi,-29319.429939639587,-22309.912653848525
60,momentum_stoch_rsi_k,-25300.506198093317,-20343.115157851153
61,momentum_stoch_rsi_d,-9825.362292179392,-14921.308514024038
62,momentum_tsi,-7607.4253722636595,12369.267254922699
63,momentum_uo,10717.029752452405,-14863.968593603631
64,momentum_stoch,-19011.14915706914,-19035.70761825507
65,momentum_stoch_signal,-1033.433441639585,170.28239963677674
66,momentum_ao,5060.6884335688965,-8103.096272190944
67,momentum_roc,-13915.317730114035,13591.324270782763
68,momentum_ppo,1319.9966395413508,7528.066617270533
69,momentum_ppo_signal,6785.809977303745,4716.456595815542
70,momentum_ppo_hist,-2976.9598207089616,7860.200906083571
71,momentum_pvo,-1672.5090165621245,4825.492621296502
72,momentum_pvo_signal,-15995.354134675928,-18093.472724139607
73,momentum_pvo_hist,21321.13247776582,20648.12399713564
74,momentum_kama,-8983.836777628678,-11862.348766012867
75,others_dr,7550.502580600342,-485.59207587487845
76,others_cr,-1406.0945932598693,-2646.067744349435
