,feature,buy strategy weight,sell strategy weight
0,volume_adi,50319.530125954356,148800.64378736645
1,volume_obv,-53046.270541145386,49464.67318146992
2,volume_cmf,315368.01000563323,-496686.1096603235
3,volume_fi,211452.20892836715,430322.84800214646
4,volume_em,551807.06921737,-393095.16424292163
5,volume_sma_em,222734.7296581862,130253.58845705917
6,volume_vpt,-231003.0800304684,868827.25237154
7,volume_vwap,-121325.72962685012,-272538.8589875998
8,volume_mfi,391620.58725864906,-170712.48845872236
9,volume_nvi,-282584.95561794046,140469.4960663043
10,volatility_bbm,-303490.460496413,207716.34095360545
11,volatility_bbh,-503685.15400178946,167290.7022004968
12,volatility_bbl,5723.398013799793,79816.61533785376
13,volatility_bbw,-85050.17605462993,7873.55010185254
14,volatility_bbp,-17472.163847070857,-171854.39048432134
15,volatility_bbhi,848149.8271742115,-296562.3760725507
16,volatility_bbli,-404097.6452891051,-855162.4896488622
17,volatility_kcc,37745.41927742341,191008.05967787767
18,volatility_kcw,-64623.84428300788,-255126.02711991043
19,volatility_kcp,337770.63550470833,-319493.8321948303
20,volatility_kchi,1314794.046812361,-105436.15675611385
21,volatility_kcli,-96703.11608709485,240268.56964889698
22,volatility_dcl,-222365.03383292066,-134044.7001269142
23,volatility_dch,-12158.263896016953,222059.1505034657
24,volatility_dcm,133828.4867776125,764100.6283503025
25,volatility_dcw,387170.92568572296,-381727.4671116376
26,volatility_dcp,-867810.2464959149,-731461.2635185058
27,volatility_atr,165115.95193386608,33104.265681929784
28,volatility_ui,129453.34866008331,-704210.7954714727
29,trend_macd,-44629.323707550015,-126958.29267746813
30,trend_macd_signal,-311560.9615234276,299393.76619473525
31,trend_macd_diff,117350.02872542635,-98827.88258176883
32,trend_sma_slow,-228903.78960942905,602399.4567496579
33,trend_ema_slow,-282644.7919144551,675283.5113353501
34,trend_vortex_ind_pos,638148.5403953659,-35520.8766855479
35,trend_vortex_ind_neg,376431.63348151883,-526763.7555125445
36,trend_vortex_ind_diff,-49831.663417214455,244147.21965252227
37,trend_trix,-123453.82407804622,16338.720759842055
38,trend_mass_index,319576.94650072104,64185.45456252776
39,trend_dpo,-595601.8558859628,-358234.5989140112
40,trend_kst,104592.42576915622,-408653.33835493616
41,trend_kst_sig,145932.29665918072,127834.30678065105
42,trend_kst_diff,-63142.18435739848,-88250.32197850624
43,trend_ichimoku_base,70144.11502594802,396969.7084305935
44,trend_ichimoku_a,171016.81305471246,299354.1811625202
45,trend_ichimoku_b,-375489.5618803861,418441.20553412876
46,trend_stc,-748796.806898443,146361.07638760962
47,trend_adx,-209202.1366560107,-127734.15940412263
48,trend_adx_pos,-322256.86574658187,-382675.87756326905
49,trend_adx_neg,-343468.1862887649,-330018.1943389222
50,trend_cci,-346306.4195201706,323798.85994855803
51,trend_visual_ichimoku_a,11062.295641434048,-55525.383451837966
52,trend_visual_ichimoku_b,613206.1589582523,657374.8224642865
53,trend_aroon_up,112278.81647537347,-828906.8054369328
54,trend_aroon_down,296318.8049915303,603917.304223669
55,trend_aroon_ind,254662.86915533483,-465480.79558949044
56,trend_psar_up_indicator,-245709.9109908103,-393590.9807790155
57,trend_psar_down_indicator,570332.4177741325,-1102755.8596734311
58,momentum_rsi,-292637.97136789165,-98662.7225098382
59,momentum_stoch_rsi,-102279.8849797486,106955.55236258713
60,momentum_stoch_rsi_k,-711666.2073874003,433513.0519905997
61,momentum_stoch_rsi_d,-330517.9094498622,34025.0890918014
62,momentum_tsi,-476589.688124161,-362564.6136980271
63,momentum_uo,-161227.57564446394,201541.5163019808
64,momentum_stoch,66516.97865343837,-459798.69114996115
65,momentum_stoch_signal,-236302.93380547504,-89577.23105305218
66,momentum_ao,154360.5463614215,-127805.25202096142
67,momentum_roc,638230.5385777678,483456.801981289
68,momentum_ppo,27733.600636798765,123189.92182986761
69,momentum_ppo_signal,3247.2035064356023,-192759.15064593157
70,momentum_ppo_hist,252832.96363929048,19168.735877909417
71,momentum_pvo,-448230.93429437745,-437039.8946119733
72,momentum_pvo_signal,222196.5912165553,-391576.8513802413
73,momentum_pvo_hist,-245169.62638996277,-245701.82973822308
74,momentum_kama,-73882.69407609117,504318.57522462134
75,others_dr,721685.4880744328,-156755.28077891323
76,others_cr,157625.0658894289,99329.58462939806
