,feature,buy strategy weight,sell strategy weight
0,volume_adi,-909826.3157493648,-1107510.9359808655
1,volume_obv,-1279308.4330586642,-184946.88250789096
2,volume_cmf,2842689.052559243,-1925603.4332053808
3,volume_fi,-249884.25864406244,197500.51244605627
4,volume_em,1365834.351601858,734259.0714284967
5,volume_sma_em,39794.09584028544,-856.4459669693897
6,volume_vpt,-148748.11636255548,1035836.4235289315
7,volume_vwap,-636485.2348901593,239984.37140739488
8,volume_mfi,107319.2528321609,-2192722.277265239
9,volume_nvi,-4872119.979738267,361661.07526928774
10,volatility_bbm,-1202362.6454447054,3011293.66832343
11,volatility_bbh,-999617.2883908999,-1688442.318799227
12,volatility_bbl,-64948.05731746342,605886.613092837
13,volatility_bbw,-1923235.2654025543,-1562338.3163595723
14,volatility_bbp,-166711.30787019694,-1447047.3003386497
15,volatility_bbhi,1741007.191409425,997094.795517568
16,volatility_bbli,-445811.308512022,-2528643.89157759
17,volatility_kcc,-967676.7364257795,1539878.5986004726
18,volatility_kcw,1371839.0306918074,49268.22170204843
19,volatility_kcp,49764.60657743005,623271.8956180918
20,volatility_kchi,2527747.7403512984,-284953.21729472006
21,volatility_kcli,-1723405.3119663743,417056.91661288985
22,volatility_dcl,1008005.5646759738,1848306.698193546
23,volatility_dch,123943.88027824966,-495080.5703060017
24,volatility_dcm,908137.7912174865,2550853.0955696865
25,volatility_dcw,1212530.6076535278,-960595.2072803088
26,volatility_dcp,-3131311.7873320295,-2071593.6809106122
27,volatility_atr,841020.9752645029,716432.9575328876
28,volatility_ui,295810.225915091,-912255.7777155366
29,trend_macd,31953.655893029663,748263.132969948
30,trend_macd_signal,964635.1149332591,-1779493.6166753385
31,trend_macd_diff,-1561738.6042370691,-759931.6289101188
32,trend_sma_slow,-1606880.08436657,902977.7370915442
33,trend_ema_slow,-542131.5380522046,-846159.25641773
34,trend_vortex_ind_pos,970686.3817712889,-442365.7349211434
35,trend_vortex_ind_neg,342056.44945835054,-1534027.7161349547
36,trend_vortex_ind_diff,1143041.9748064815,-206056.97571907754
37,trend_trix,71137.29235314265,-269820.706455418
38,trend_mass_index,1722310.4199501043,448194.18392135855
39,trend_dpo,-2029906.4511630146,665194.028828693
40,trend_kst,835692.3635804121,-564304.7597027243
41,trend_kst_sig,662279.9650059894,-597385.709284403
42,trend_kst_diff,231689.58371782312,2425736.622711946
43,trend_ichimoku_base,-1994098.5625362454,720986.3643319727
44,trend_ichimoku_a,173280.26356981476,1957155.5704825341
45,trend_ichimoku_b,-1187713.7257908625,-244363.2565273066
46,trend_stc,-1138743.8090275698,-375499.40631006303
47,trend_adx,-3065361.9731467413,-1186026.2159502958
48,trend_adx_pos,813538.1980936488,-1489288.7636729106
49,trend_adx_neg,-2750216.38399584,-129111.37109666977
50,trend_cci,1733257.703657279,180965.76599558062
51,trend_visual_ichimoku_a,568732.5005427656,860329.5980888476
52,trend_visual_ichimoku_b,-629446.6171522527,3212246.86297778
53,trend_aroon_up,225024.83545908687,-3063187.8589042188
54,trend_aroon_down,1289590.5038960527,-335323.0107528321
55,trend_aroon_ind,-269308.79012034216,-2379626.437566597
56,trend_psar_up_indicator,-243242.8974784177,4892397.356819311
57,trend_psar_down_indicator,971897.3479473268,188044.52967924834
58,momentum_rsi,-156604.65188524773,-456724.7537907319
59,momentum_stoch_rsi,2483747.3691587704,1780139.5803393296
60,momentum_stoch_rsi_k,1981802.6540939067,976112.1119592141
61,momentum_stoch_rsi_d,-2450468.546503642,860810.4301607779
62,momentum_tsi,1434050.0937475015,-1648567.8475061946
63,momentum_uo,-1854908.417416127,-683531.9439725283
64,momentum_stoch,-1689333.4127582242,-144333.70239380072
65,momentum_stoch_signal,-2733279.33217028,-1092412.9656527801
66,momentum_ao,150681.95459577304,-709252.8441322788
67,momentum_roc,2575749.62909461,463856.8391082013
68,momentum_ppo,-327232.3615669678,-270994.01497008215
69,momentum_ppo_signal,-185927.17744989457,1131478.0704803
70,momentum_ppo_hist,470771.91153200925,327002.3198125035
71,momentum_pvo,-116186.53768271768,-395100.6957934012
72,momentum_pvo_signal,4390222.204435713,432761.5974646746
73,momentum_pvo_hist,-1932334.4531159212,-463153.8885497845
74,momentum_kama,189033.12666984927,668571.3044864618
75,others_dr,3974110.928933023,1889053.298980265
76,others_cr,-788758.1755294092,2002842.6114882154
