date;open;high;low;close;volume
2011-04-14;50021.32;50101.6;49646.65;49847.57;95029565
2011-04-15;49912.39;50016.31;49793.3;50016.31;141691719
2011-04-18;50017.99;50033.79;49193.91;49335.57;100050240
2011-04-19;49365.73;49609.18;49304.47;49609.18;69692347
2011-04-20;49863.05;50271.57;49857.03;50178.54;109143034
2011-04-21;50216.08;50294.47;49888.17;49966.31;118437643
2011-04-26;49918.31;50214.11;49806.42;50198;139662867
2011-04-27;50249.2;50259.66;49868.32;50024.22;99773508
2011-04-28;50132.49;50226.8;49904.93;50219.7;108779448
2011-04-29;50121.96;50139.35;49891.55;50008.98;169732817
2011-05-02;50097.45;50134.02;49769.97;50134.02;112962941
2011-05-04;49834.28;49839.6;49357.91;49542.01;152306812
2011-05-05;49470.86;49588.49;49081.67;49266.97;110895269
2011-05-06;49202.96;49417.55;49040.37;49321.53;88658264
2011-05-09;49431;49437.37;48904.49;48904.49;89387959
2011-05-10;49018.31;49333.01;49008.91;49332.75;79163780
2011-05-11;49318.7;49393.68;48956.66;49166.2;181667940
2011-05-12;48878.69;48880.22;48459.77;48795.21;134242782
2011-05-13;48908.24;49000.42;48671.16;48677.61;75147702
2011-05-16;48540.86;48940.24;48480.34;48940.24;90055644
2011-05-17;48879.97;48884.09;48286.43;48286.43;122611282
2011-05-18;48540.11;48682.43;48486.68;48523.79;84548497
2011-05-19;48720.31;49212.05;48688.5;48747.55;110302533
2011-05-20;48967.15;49162.55;48830.78;48858.84;94108525
2011-05-23;48486.49;48575.19;48155.21;48575.19;70485759
2011-05-24;48512.77;48752.14;48435.01;48752.14;71474251
2011-05-25;48577.92;49148.52;48526.88;49148.52;84858650
2011-05-26;49211.99;49393.14;49095.86;49215.53;83080602
2011-05-27;49337.99;49575.71;49306.51;49425.67;218927244
2011-05-30;49567.44;49574.89;49396.93;49492.53;116332951
2011-05-31;49706.7;50064.81;49700.74;50025.61;195600141
2011-06-01;50164.33;50164.33;49758.75;49929.4;115998302
2011-06-02;49655.28;49903.14;49598.88;49824.93;112736139
2011-06-03;49947.67;49947.67;49433;49638.88;104310043
