gen,nevals,restart,sigma,avg,std,min,max
0,50,37,952.1613706889002,439.0390934996503,443.8548455027925,1.2114062659233638,1556.419574726873
1,50,37,919.3725586559129,666.4569301780191,398.2168688745371,2.420483400684879,1392.1949548280218
2,50,37,894.7720104450835,842.5637786896363,403.96245843895616,4.827531756130604,2114.1150777313287
3,50,37,873.1704392727827,959.3291874508516,375.1323711814196,1.620210612962795,2002.3499574348843
4,50,37,853.6034062945932,1049.1602317823779,415.0936385643643,5.525150820710523,2434.6902137508687
5,50,37,840.1002569988568,1086.6604527137633,445.685339470612,53.22244056802362,2142.2517403094553
6,50,37,832.9936546732318,1197.8122022391076,402.00144254982,589.4789003517175,2437.9943938221404
7,50,37,830.128992841831,1302.604922531505,420.1590525495606,614.0610876775067,2214.4869053771595
8,50,37,829.8962820488307,1304.3529879046916,411.32331381670224,749.5807752090731,2222.5717517872204
9,50,37,833.4135140791572,1363.754486865278,512.1891929497993,329.73565927848153,2646.7055683199605
10,50,37,836.6858958793068,1406.8343445950795,448.6586049969046,943.9163570910388,2845.2010826024925
11,50,37,839.8719665017286,1431.4541262099128,452.6293815871098,1000.0,2657.935033063647
12,50,37,844.312652666034,1466.9775661221042,435.3701931338605,852.1230915322034,2705.871699921457
13,50,37,849.0957616020544,1636.2045138447838,565.6080648274886,633.0209339360454,2798.901490934097
14,50,37,852.6918512963573,1585.8930070726688,545.5771502010498,948.952937776063,2991.4630844700955
15,50,37,858.0233966069434,1475.1613090594876,420.71128193572207,941.752701235142,2673.832943060172
16,50,37,865.6413515210093,1545.291215458686,450.1536855908338,976.0909968902324,2693.423804163142
17,50,37,874.0758125120237,1681.133023717761,505.0707124399933,1000.0,2603.2387956968064
18,50,37,879.098635144905,1698.2403228352746,562.0300987274393,1000.0,2846.4164502769813
19,50,37,888.1002729900877,1631.5317895875053,520.6707399120626,835.9407232157648,2582.0810058655848
20,50,37,892.3878412519595,1686.2724206154319,547.4279420565089,855.8466084202181,2782.584755130634
21,50,37,894.4437082607697,1751.5003671494505,575.9977265309906,878.6898265614946,3423.775073219736
22,50,37,896.2147682598392,2052.73214219808,628.4736733853118,990.2142034979237,3818.1719665426126
23,50,37,899.8948590633418,1853.8482783803158,670.2715430762485,915.0907114388946,3865.037355006981
24,50,37,902.5154195024115,1981.3882858574298,624.2598567155646,963.2790933431826,4164.249959905225
25,50,37,906.502986269286,2032.5864644431667,657.5031380904383,963.2790933431826,3423.775073219736
26,50,37,906.589659809926,2025.6916546689272,671.1867015810432,1000.0,4542.707491275028
27,50,37,909.4938099207283,1970.5906068934066,641.0266149290301,1000.0,4410.8851748808565
28,50,37,914.9200059026828,2145.0595112317005,758.834803745855,963.2790933431826,4499.962314876096
29,50,37,919.1661996810249,2136.634727510029,716.4706157248055,1000.0,4597.703151562403
30,50,37,924.8110563568931,2179.726246497636,690.2684128747338,749.5807752090731,4311.718713657378
31,50,37,927.2220763892922,2130.0390447319205,692.3397167677438,1000.0,4012.165631428962
32,50,37,927.3978987726664,2094.049139515835,699.0999888264623,1000.0,3834.5520133119603
33,50,37,933.1999291404748,2149.648936909108,855.099244095521,1000.0,4330.692021725575
34,50,37,942.7120109239719,2272.1817293666395,942.8953093424623,1000.0,4279.22566782434
35,50,37,955.6815026315683,2204.031519881487,1043.431405821186,792.4900642506587,4623.26473467165
36,50,37,967.858878462795,2261.9624392484534,913.3986084265799,819.0068779294635,4805.170880006772
37,50,37,982.687819285482,2173.5676968685007,709.2568563453488,1000.0,3641.667679683416
38,50,37,996.5997470981209,2291.4527746110457,873.7508882251038,794.5165808854641,4499.962314876096
39,50,37,1009.8771719188866,2192.2230493520024,942.3650736661355,876.6775986026782,4325.693306257579
40,50,37,1020.137820924075,2422.775482255232,1038.1171705118272,963.2790933431826,4402.005484734001
41,50,37,1027.7292564207362,2353.7855007759817,719.817901262543,1000.0,4083.5502169848965
42,50,37,1038.2987536852015,2417.6758033046854,817.15040613952,1000.0,4287.857687509579
43,50,37,1048.8652568817934,2302.07889423139,847.639958178802,914.8158914714046,4304.253429005849
44,50,37,1061.4565298784407,2504.144899243369,986.7965605133604,972.8950319404411,4469.395685763556
45,50,37,1077.8681855714117,2393.365942625503,779.7986605748454,777.977536695714,4164.249959905225
46,50,37,1092.286781670042,2701.115703603721,943.2267126232005,1000.0,4393.498995602336
47,50,37,1101.362769527713,2590.7925482195947,1072.2298643632755,691.0970040080234,4716.630846841307
48,50,37,1114.0310595652743,2498.5604811564963,1031.3215670902769,1000.0,5814.268281571117
49,50,37,1128.1318674709523,2583.4989182203703,1087.0509902053898,946.2906745557283,4856.634935582398
50,50,37,1134.3728328280044,2620.953741419342,1059.3912291360184,1000.0,4716.630846841307
51,50,37,1140.4566623193375,2649.1256448450818,1139.471124387106,745.1441684749911,4924.115899342374
52,50,37,1145.6424683511102,2397.1225678520664,956.6410679687011,763.7185692303083,4321.6159327403675
53,50,37,1149.049200510997,2483.099796309027,1105.787214770221,883.7369056506634,5525.75565105435
54,50,37,1151.113624707622,2466.4012154701836,1065.5332428060626,880.2713060325614,4538.628798041397
55,50,37,1154.2991906157788,2408.8307995013347,1073.5248682152603,963.2790933431826,4321.6159327403675
56,50,37,1155.2542261032736,2555.3686008579893,1206.3059457966253,720.8039799993692,4853.484976024184
57,50,37,1150.803722769533,2800.584539948325,1114.6133045896327,845.7136169142772,4586.683152052143
58,50,37,1149.6066612110349,2531.6183249850405,908.0735852381488,1000.0,4321.6159327403675
59,50,37,1145.6589471976813,2564.202645842756,1038.1470684328162,1000.0,4419.124513973164
60,50,37,1144.850809556529,2641.413902244916,1137.6494649612978,960.2227510655683,4982.437164860701
61,50,37,1148.2954712092824,2435.1314312982913,928.3501260252797,1000.0,4410.2282369564955
62,50,37,1151.9801272022844,2672.672005902134,1109.1389489708465,963.2790933431826,5238.085242435169
63,50,37,1152.3753754201514,2905.795483707149,1143.9247907666324,1000.0,4597.703151562403
64,50,37,1149.473940076887,3158.154887007928,1045.682106608232,1233.8318155143413,5442.51476826012
65,50,37,1143.7558825118135,2614.495206149862,1068.7986984243373,848.0728407521193,4325.693306257579
66,50,37,1141.2361524018036,2781.1159035042183,1078.190279157975,1000.0,4774.104259646415
67,50,37,1137.1550288186518,2883.4665376880757,987.2539283999649,1000.0,5218.3335212367665
68,50,37,1134.7981674432228,2640.5501675205755,1041.9979787906757,968.2541768350634,4410.8851748808565
69,50,37,1134.3646254810255,2681.6697867244457,1157.1461542137906,654.9531158399499,4597.703151562403
70,50,37,1132.035122645192,2611.3813274686363,1140.7662799488571,678.4610513551863,4705.275258220986
71,50,37,1129.4755877113068,2878.3413574549686,888.9375470806672,1000.0,4499.962314876096
72,50,37,1123.9621672526218,2946.184550994786,1114.9843237750051,945.160558350898,4978.946943673714
73,50,37,1114.8253290113419,2979.922169636152,975.955995512118,898.2572558371762,4597.703151562403
74,50,37,1108.5230454961095,2996.9724694939728,1260.9751334021732,774.815943277389,5461.512196648496
75,50,37,1102.8220172698461,3003.281883903104,1124.1002732085603,849.4567281110292,5460.360364933453
76,50,37,1097.0727168179596,3222.372412531249,1199.034844351433,1000.0,6071.83990441355
77,50,37,1097.5945462077973,3056.4205606581354,1099.4808208960444,881.9084650956346,5125.354171502872
78,50,37,1093.3156967158536,3031.3593652555755,1232.1983707329425,1000.0,5322.714823802409
79,50,37,1092.8749846848605,2797.43298333998,1187.8025903844668,781.8062402521405,4763.384742161469
80,50,37,1095.734758381684,3187.1911657218297,1127.036549024023,1000.0,4763.384742161469
81,50,37,1099.2482898082399,3139.841500253577,1271.5535995435266,1000.0,6264.08238510623
82,50,37,1103.7345701605905,3411.0972060793706,1260.2309465989629,1000.0,6231.3177008688635
83,50,37,1107.806371565372,2990.787142089331,1239.0509399653474,989.4411980491434,6050.185037108603
84,50,37,1108.457653565108,3214.014992795675,1272.8760965287395,963.2790933431826,5990.800852709457
85,50,37,1102.6477650479085,3244.0898407700042,1077.4067096165204,1292.2062904464506,5328.815291289431
86,50,37,1095.5273581694287,2947.0297895702224,1345.42103456905,835.7024818716537,5738.5838994707665
87,50,37,1089.4725151781663,3095.35198797981,1190.4773955208223,1000.0,5622.432521301019
88,50,37,1082.8785114362186,3008.2055984556973,1253.3807592632688,663.4054240853442,5961.582977826332
89,50,37,1076.198360530983,2695.2087019403366,1271.621139913159,881.5711587945636,5530.474117661913
90,50,37,1073.39998936189,3278.1904449724716,1355.1292368486977,884.9192511804513,5629.401661282615
91,50,37,1071.386901302775,2981.7903936960943,1465.6055422097475,827.8728539122641,5791.377690411041
92,50,37,1076.0734997539191,3162.1235780766087,1410.2920758891964,955.3038666520584,6271.095548857631
93,50,37,1081.1178376826942,3253.4206383355095,1458.5700521938338,884.9192511804513,6273.624782670144
94,50,37,1082.2172307069452,2927.6672467380413,1215.2286551147592,851.0000525566841,5867.457276904897
95,50,37,1084.2601677094715,3230.64976271085,1377.5310755683465,1025.2772723592548,5850.895855025046
96,50,37,1085.761786236438,3535.566088444743,1258.9490989126896,1000.0,6302.105916144098
97,50,37,1089.8164869722498,3441.191388630905,1534.525208849773,916.4633380739027,6302.105916144098
98,50,37,1092.3864817438887,3482.0106197542896,1474.8941289822583,1000.0,5905.451607026892
99,50,37,1091.3088422268165,3008.1608137121593,1198.9724414540422,928.9857108494899,5377.223660397724
100,50,37,1089.3682397069017,3138.583718186924,1230.4098606607827,1000.0,6104.425779595101
101,50,37,1087.4080152959814,3312.6814293787675,1304.3037576644842,1000.0,6130.967159026777
102,50,37,1084.3818187704007,3577.7344077472376,1375.7222655684386,1000.0,6302.105916144098
103,50,37,1087.523297574309,3587.1112735169895,1293.2342872048564,779.0698854383911,6264.08238510623
104,50,37,1096.200391726647,3371.1485703371145,1254.608825079884,873.1997953330239,5767.369536724288
105,50,37,1107.3608768430631,3423.0419268145233,1297.6256447342887,1031.9772279035406,5847.488019956257
106,50,37,1113.6052586522048,3522.2792526910316,1278.2407987998395,963.2790933431826,5990.800852709457
107,50,37,1117.2658072307574,3717.9315109583576,1537.2435210465312,1000.0,5990.800852709457
108,50,37,1124.53138595012,3587.819193959061,1357.5918905528367,963.2790933431826,5847.488019956257
109,50,37,1129.8447276553957,3439.1532964637154,1549.31856606894,781.2811979273708,6110.824590147903
110,50,37,1132.885457714389,3085.73961585708,1492.0457502819518,872.9455261792784,6110.824590147903
111,50,37,1136.5954940469094,3494.642597570394,1222.3404834283815,1000.0,5585.721794705605
112,50,37,1142.5968175713128,3562.7767080665576,1164.3921128238492,1520.4541523599344,6351.245616091942
113,50,37,1147.0270820643875,3806.716634784642,1504.900126269458,1000.0,6117.251992027401
114,50,37,1152.9592056108547,3835.1494363404713,1419.5974954653186,845.5812887001916,6358.729934177088
115,50,37,1158.8577547864172,3536.7311500430746,1376.418949179724,1103.7407309257062,5905.451607026892
116,50,37,1166.758274812458,3672.2009454996933,1595.950867238668,884.9192511804513,5943.266481935404
117,50,37,1173.0747706102036,3696.439270522318,1511.7887246081355,857.2534638218334,5990.800852709457
118,50,37,1169.3265577344714,3474.208039352714,1442.7448205405171,1000.0,5990.800852709457
119,50,37,1172.483106147131,3234.7605553596118,1637.6802532567376,769.6083403471156,6050.185037108603
120,50,37,1175.0143013761863,3300.1310036885466,1807.040338178415,938.4312981834784,6302.105916144098
121,50,37,1178.6149609581698,3977.5012595020103,1562.4747487970667,1000.0,6302.105916144098
122,50,37,1182.4552188812615,3730.8446947218677,1504.029738433754,1000.0,6050.185037108603
123,50,37,1182.1430738214835,3669.9325329742264,1610.857004100996,884.9192511804513,6351.245616091942
124,50,37,1181.146996357732,3628.1040984194274,1854.7554227887895,828.0648817310475,6351.245616091942
125,50,37,1181.9210917371756,3480.90403642693,1582.268382032718,868.5058960440887,6302.105916144098
126,50,37,1177.3355541870058,3257.430436122677,1384.623747633121,789.4127023006761,6273.624782670144
127,50,37,1176.049213420743,3615.527910437377,1325.1879391192024,1118.2285904559715,6211.369714283671
128,50,37,1173.5495561159337,3083.456869332274,1338.318301505751,1027.8919126050341,6050.185037108603
129,50,37,1170.0598221507887,2902.27801917242,1357.2672280667184,687.4329722833852,6211.369714283671
130,50,37,1167.4205921838845,3608.7737526294454,1187.3038845368924,1148.0731156447728,6211.369714283671
131,50,37,1166.6294180823702,3419.1570479551724,1541.8067025664432,749.5807752090731,6211.369714283671
132,50,37,1156.164947609713,3478.6435963264726,1449.1511406590168,1025.2772723592548,6089.606269661416
133,50,37,1148.6614655783296,3461.9035665127467,1463.6675448690899,909.7564971784556,6211.369714283671
134,50,37,1142.3301114024314,3644.5596916556365,1475.0518101388384,884.9192511804513,6089.911268924109
135,50,37,1136.0707690276768,3341.5095756164,1559.1030909634835,924.742931588817,6013.59262762615
136,50,37,1131.765385027783,3653.253650933993,1414.9641068944413,1006.6291715635246,6337.9621272062195
137,50,37,1122.7851971275852,3267.9310341466776,1551.4422909754135,821.2219963819923,6419.562288912883
138,50,37,1113.3584030761422,3455.3617600188772,1567.9917055424837,870.2976628667603,6318.217044577802
139,50,37,1101.5585677454706,3540.0445254375877,1394.427129425089,853.4155316805909,6013.59262762615
140,50,37,1090.1618790032649,4114.8504331008235,1492.4567098177956,1025.2772723592548,6371.287554952799
141,50,37,1088.3863569287055,3507.549862094849,1491.6970144519062,1025.2772723592548,5986.017894692131
142,50,37,1087.494013909519,3607.9495385155547,1514.9587839459955,924.742931588817,6110.824590147903
143,50,37,1086.223273235913,3642.712788074461,1647.134806902854,1006.6291715635246,6409.9618308009185
144,50,37,1088.8981768178428,3606.420384547341,1407.5773918631053,1071.417430763459,6203.156480870573
145,50,37,1093.6312915577066,3782.9465794135344,1465.0415440712882,1420.9866609383344,6465.534952769573
146,50,37,1093.2582086987875,4011.282172865209,1443.0783570007145,1070.7307738766476,6218.773241379092
147,50,37,1101.4567727622984,3630.5676041519514,1582.7988320736495,1415.7876185023063,6259.012940989359
148,50,37,1104.907730055192,3536.0058894287636,1472.203008022989,990.9784051436444,6254.707085423651
149,50,37,1108.8358036264872,3364.5014892135805,1530.0869618729785,1078.085160599417,6040.89326166447
150,50,37,1110.6987150727007,3306.7422201266336,1464.8146854968636,687.4329722833852,6518.791988018923
151,50,37,1105.7948091158332,3318.342949118752,1398.9851767754285,787.6717937032803,6171.800086890375
152,50,37,1106.6045292490812,3421.1898268469195,1675.5000490092764,1013.9547591740042,6603.499128763359
153,50,37,1109.6866658846063,3546.701416678409,1472.189970595745,1013.9547591740042,6112.192912828828
154,50,37,1110.6895952679176,3754.7756897875533,1492.6114171364316,1013.9547591740042,6569.082558931482
155,50,37,1108.5491326059243,3373.9094448368583,1485.5456521839592,741.5193861668611,6144.278713567455
156,50,37,1104.5861720968912,3277.0139352045085,1544.2513951163453,1006.6291715635246,6372.455698844101
157,50,37,1102.5642984584972,3729.951593813693,1480.6798021045265,924.742931588817,6427.229384679548
158,50,37,1106.4224872419543,3428.235205916464,1396.1456319906983,995.5189807336693,6165.199490419422
159,50,37,1111.9212560913545,3805.0683590324516,1608.5879341133589,787.6717937032803,6290.5361386562745
160,50,37,1122.0040240549238,3589.6999728405235,1686.35038052456,787.6717937032803,6620.83072756854
161,50,37,1130.5131565995123,3419.666463473143,1628.7246898963945,959.4609536479011,6264.08238510623
162,50,37,1133.8090911681509,3893.5743220649642,1672.6433240607932,1056.4294015170356,6307.325646969453
163,50,37,1136.1499537343611,3526.4274592595666,1517.8901694045107,1006.6291715635246,6237.116081484281
164,50,37,1129.9118311586733,4360.994827781333,1599.6835154099688,1071.417430763459,6574.597194337017
165,50,37,1126.6779527370252,3542.746570652732,1658.3844512266621,872.9455261792784,6268.914290312565
166,50,37,1121.0201094522863,3439.3859991933477,1460.0410038554191,1158.345290143656,6054.763645064176
167,50,37,1115.5351141548197,4047.5845850308897,1569.2713258359734,995.5189807336693,6454.0779787970605
168,50,37,1111.8247395637582,3660.2098722167634,1432.6855336641383,865.1292972645633,6341.862931550452
169,50,37,1106.3599694497636,3877.6019203780465,1641.6612125642284,813.05526643159,6546.045556474765
170,50,37,1103.2875062893522,3752.9734153854497,1675.387638023153,1013.9547591740042,6524.319600180486
171,50,37,1101.6944715792058,3409.9845191945456,1677.2304258950387,982.4239283068736,6563.226362155663
172,50,37,1100.7374600641604,4292.294550739552,1469.7269222759119,1174.779244993075,6425.570601146705
173,50,37,1095.7572755595845,3727.511854905641,1734.3184358902352,818.8092567808231,6467.554927319378
174,50,37,1092.7621224307009,3602.1707567747258,1709.4463721412976,924.742931588817,6579.906471622992
175,50,37,1097.1045652272205,4100.880489400506,1574.2884475546587,995.5189807336693,6563.87377990541
176,50,37,1104.966183337631,3940.583524817425,1649.9893732699122,1061.3041345702707,6341.862931550452
177,50,37,1111.9510837406726,4068.830849013511,1630.4306983650672,814.1938475737333,6412.246728233675
178,50,37,1116.1520469505895,4251.17550898475,1613.1706796676754,1174.779244993075,6491.037666802057
179,50,37,1123.3301024313255,4047.6582004503325,1753.541279608671,928.6982151167196,6412.246728233675
180,50,37,1129.5200022603358,3852.9235099954985,1636.2665421584065,924.742931588817,6643.872473733693
181,50,37,1134.076655516261,4110.541530749808,1745.843130102187,897.8014477409445,6476.053597331657
182,50,37,1135.67733166448,4276.108118607047,1580.7548083703994,995.5189807336693,6491.037666802057
183,50,37,1136.4162590694812,4290.846672724714,1550.015237047563,814.1938475737333,6427.229384679548
184,50,37,1142.0515954172893,4050.4901546997753,1774.5515534124531,687.4329722833852,6563.226362155663
185,50,37,1150.5589256670912,4409.108802505012,1495.865076278625,827.8728539122641,6341.862931550452
186,50,37,1156.8915981951927,3987.7817502893804,1455.948318367397,793.7253657844831,6479.035824933493
187,50,37,1156.7984069184574,4008.9883874643765,1770.4063673096673,948.0735015340732,6563.226362155663
188,50,37,1159.2697242631818,4056.435172178563,1652.058923894066,814.1938475737333,6528.614698473624
189,50,37,1159.6277479243001,3738.052115518334,1555.4477603270993,850.239013732494,6522.658166633758
190,50,37,1159.2663603078756,3435.47412744484,1713.5956661239293,749.5807752090731,6341.862931550452
191,50,37,1154.4626182819798,3777.7973178685206,1511.7880403561248,995.5189807336693,6643.872473733693
192,50,37,1147.632886584349,4306.4465216948365,1691.729451619907,1000.0,6643.872473733693
193,50,37,1136.8859990963563,4236.459754168306,1490.592303358294,1000.0,6805.410713326767
194,50,37,1126.636567196426,4074.952691697757,1676.2598985466277,854.4738652618029,6563.226362155663
195,50,37,1118.556397489266,3929.9937024115684,1590.8665100514352,1071.417430763459,6889.0326823763035
196,50,37,1111.1012515259406,3412.3151912300505,1647.8118838587993,1025.2772723592548,6504.36832500276
197,50,37,1107.1326317896437,3913.4668330806367,1856.9264230995386,940.7972992268328,6704.1144716079725
198,50,37,1103.501418591353,3859.392798034225,1728.1633674585144,884.9192511804513,6563.226362155663
199,50,37,1099.9460531719192,3842.627509438548,1732.6380532567832,1013.9547591740042,6889.0326823763035
200,50,37,1099.3461995327268,4330.685143833686,1664.5656064462726,1415.0747282380823,6805.410713326767
201,50,37,1099.1104034045445,3675.705501409623,1823.6018015324562,1000.0,6522.658166633758
202,50,37,1100.6593724555391,4443.944537552044,1714.036566068852,831.9257452845819,6563.226362155663
203,50,37,1105.0808504164056,4012.0185641036437,1982.0989277864164,897.8014477409445,6805.410713326767
204,50,37,1107.998998939981,3946.5327712184385,1944.0700578747494,835.5271251112532,6805.410713326767
205,50,37,1110.1824375000592,3973.3160438561044,1991.266777465138,884.9192511804513,6805.410713326767
206,50,37,1110.3536372040192,4131.385864797164,1804.6575329568807,1000.0,6805.410713326767
207,50,37,1111.1950900778777,3996.53086627899,1800.2389226028579,963.2790933431826,6805.410713326767
208,50,37,1110.013631490304,3488.692437687585,2016.5442088096972,920.2433465757831,6889.0326823763035
209,50,37,1107.0749426939117,4246.707248240662,1820.9226480074028,970.4920633862562,6805.410713326767
210,50,37,1102.591504708617,3908.3074243379724,1731.543401379365,865.964444018497,6805.410713326767
211,50,37,1098.1769242072328,3901.3653420984683,1878.9551429394198,884.9192511804513,6889.0326823763035
212,50,37,1094.9018217529467,3239.6978137812603,1828.8928844269924,742.5577903498,6479.035824933493
213,50,37,1093.492274979526,4175.060596657195,1925.0381458530894,1000.0,6563.226362155663
214,50,37,1093.1797442852805,3516.100630966173,1934.1565386198256,827.8728539122641,6704.1144716079725
215,50,37,1084.3983358177434,3662.895319161608,1949.1711994349457,928.6982151167196,6704.1144716079725
216,50,37,1069.7046672996855,3814.266900972482,1828.7897217918144,871.5243638952246,6522.658166633758
217,50,37,1060.069749853176,3935.666410257763,1822.0313328407312,884.9192511804513,6488.189534131605
218,50,37,1045.617480680946,4011.096316673575,1922.3388558680983,995.5189807336693,6805.410713326767
219,50,37,1035.7108669181202,3626.68826693149,1735.902982048276,1000.0,6563.226362155663
220,50,37,1027.6679072061565,4016.367279757773,1796.164376168801,1025.2772723592548,6563.226362155663
221,50,37,1019.6524207509175,3943.0028298385823,1977.0303890291118,817.6122409956272,6563.226362155663
222,50,37,1011.3912941356582,4543.880607919037,1759.3488739990469,1174.779244993075,6739.1031855756255
223,50,37,1004.8525943691692,4369.427717042575,1723.2479896023756,1316.0605186315993,6889.0326823763035
224,50,37,999.9437445293959,3884.1765574945007,1954.414637682195,995.5189807336693,6805.410713326767
225,50,37,997.3810381173334,4427.04502013541,1827.0721481060646,916.132122761904,6805.410713326767
226,50,37,995.2357912001706,4151.8395838046945,1851.9425852393083,995.5189807336693,6805.410713326767
227,50,37,989.0559892542846,4213.612372890268,1808.1445045879973,1232.8982407444068,6805.410713326767
228,50,37,981.4951480570395,4249.626467040802,1469.6229495680486,995.5189807336693,7003.249097678166
229,50,37,980.9562813661908,4242.2796148000925,1828.911542303653,1025.2772723592548,6889.0326823763035
230,50,37,981.3426314744278,4461.6824244996105,1852.4040696276427,868.829603092365,6889.0326823763035
231,50,37,983.2622102278584,4252.93766820709,1830.1561540908478,1025.2772723592548,6889.0326823763035
232,50,37,987.958824171557,4709.729296651054,2026.7278139681084,1000.0,6821.910396153274
233,50,37,987.6343913027004,4360.83895677382,1655.1590164474724,823.3700198193485,6821.910396153274
234,50,37,983.9653297861979,4682.100185145926,1875.858791339045,1010.9346965315833,6889.0326823763035
235,50,37,986.4921323619342,4056.3719591406325,1859.428711902484,827.8728539122641,7140.604869587597
236,50,37,990.8714156675658,4564.7248501864,1780.7286795404323,868.829603092365,7417.238000455497
237,50,37,996.8797416373654,4590.377671179941,1798.9969464266755,854.4738652618029,7508.377840890479
238,50,37,997.8408752192595,4111.615163654573,1990.452092054124,1000.0,6805.410713326767
239,50,37,996.55121745281,4603.930253884406,1681.3377039506195,1000.0,7074.6018532446005
240,50,37,999.8987177170266,4140.15333216145,1758.6582790826844,868.829603092365,7417.238000455497
241,50,37,1004.3035258547056,4738.212877629235,1883.6139343604784,1064.1174025741468,7508.377840890479
242,50,37,1009.8114008269285,4347.956007131845,1838.26668222931,959.1826829252154,7404.094601906126
243,50,37,1013.2497360587315,4145.759438062104,2055.604208011961,817.453736404223,7404.094601906126
244,50,37,1012.1397110358965,4598.53627643298,1938.346595095751,995.5189807336693,7508.377840890479
245,50,37,1010.527046882099,4222.932294918435,1986.8254622221264,868.829603092365,7344.969222674177
